Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2025-08-26,65250.0,2864.0,2889.5,2842.0,2869.0,0.0,0.0,1939700.0,5554633300.0,1.0,2864.0,2889.5,2842.0,2869.0,1939700.0,,False
2025-08-27,65250.0,2845.0,2891.5,2844.0,2854.5,0.0,0.0,2185700.0,6263854350.0,1.0,2845.0,2891.5,2844.0,2854.5,2185700.0,2869.0,False
2025-08-28,65250.0,2840.0,2878.0,2814.0,2878.0,0.0,0.0,1779400.0,5076197300.0,1.0,2840.0,2878.0,2814.0,2878.0,1779400.0,2854.5,False
2025-08-29,65250.0,2888.0,2909.5,2854.5,2873.5,0.0,0.0,1408200.0,4049294600.0,1.0,2888.0,2909.5,2854.5,2873.5,1408200.0,2878.0,False
2025-09-01,65250.0,2773.5,2778.0,2661.5,2697.5,0.0,0.0,3618700.0,9768030200.0,1.0,2773.5,2778.0,2661.5,2697.5,3618700.0,2873.5,False
2025-09-02,65250.0,2703.5,2716.0,2651.5,2669.0,0.0,0.0,3101400.0,8293966950.0,1.0,2703.5,2716.0,2651.5,2669.0,3101400.0,2697.5,False
2025-09-03,65250.0,2630.0,2690.0,2620.0,2650.0,0.0,0.0,3397500.0,9004532250.0,1.0,2630.0,2690.0,2620.0,2650.0,3397500.0,2669.0,False
2025-09-04,65250.0,2637.0,2650.0,2607.0,2639.5,0.0,0.0,2574200.0,6761589800.0,1.0,2637.0,2650.0,2607.0,2639.5,2574200.0,2650.0,False
2025-09-05,65250.0,2720.0,2750.0,2615.0,2656.5,0.0,0.0,3021300.0,8054540500.0,1.0,2720.0,2750.0,2615.0,2656.5,3021300.0,2639.5,False
2025-09-08,65250.0,2706.5,2750.0,2689.5,2745.5,0.0,0.0,2248100.0,6120085300.0,1.0,2706.5,2750.0,2689.5,2745.5,2248100.0,2656.5,False
2025-09-09,65250.0,2745.0,2780.5,2701.0,2766.0,0.0,0.0,3453100.0,9483083100.0,1.0,2745.0,2780.5,2701.0,2766.0,3453100.0,2745.5,False
2025-09-10,65250.0,2756.0,2986.5,2756.0,2955.0,0.0,0.0,4827400.0,14035551500.0,1.0,2756.0,2986.5,2756.0,2955.0,4827400.0,2766.0,False
2025-09-11,65250.0,2989.5,3091.0,2981.0,3091.0,0.0,0.0,5207400.0,15868822550.0,1.0,2989.5,3091.0,2981.0,3091.0,5207400.0,2955.0,False
2025-09-12,65250.0,3226.0,3417.0,3226.0,3415.0,0.0,0.0,8735800.0,29321105500.0,1.0,3226.0,3417.0,3226.0,3415.0,8735800.0,3091.0,False
2025-09-16,65250.0,3621.0,3650.0,3382.0,3556.0,0.0,0.0,7285700.0,25583774300.0,1.0,3621.0,3650.0,3382.0,3556.0,7285700.0,3415.0,False
2025-09-17,65250.0,3580.0,3820.0,3557.0,3755.0,0.0,0.0,11237100.0,41957562700.0,1.0,3580.0,3820.0,3557.0,3755.0,11237100.0,3556.0,False
2025-09-18,65250.0,3806.0,4220.0,3752.0,4056.0,0.0,0.0,18451000.0,75341052900.0,1.0,3806.0,4220.0,3752.0,4056.0,18451000.0,3755.0,False
2025-09-19,65250.0,4151.0,4204.0,4008.0,4203.0,0.0,0.0,12309800.0,51088568800.0,1.0,4151.0,4204.0,4008.0,4203.0,12309800.0,4056.0,False
2025-09-22,65250.0,4250.0,4543.0,4250.0,4480.0,0.0,0.0,10443300.0,46606396300.0,1.0,4250.0,4543.0,4250.0,4480.0,10443300.0,4203.0,False
2025-09-24,65250.0,4351.0,4542.0,4291.0,4450.0,0.0,0.0,8204100.0,36352021300.0,1.0,4351.0,4542.0,4291.0,4450.0,8204100.0,4480.0,False
2025-09-25,65250.0,4437.0,4498.0,4229.0,4491.0,0.0,0.0,7068100.0,31033346100.0,1.0,4437.0,4498.0,4229.0,4491.0,7068100.0,4450.0,False
2025-09-26,65250.0,4398.0,4459.0,4248.0,4275.0,0.0,0.0,5877400.0,25320073400.0,1.0,4398.0,4459.0,4248.0,4275.0,5877400.0,4491.0,False
2025-09-29,65250.0,4293.0,4399.0,4201.0,4206.0,0.0,0.0,5688500.0,24409747600.0,1.0,4293.0,4399.0,4201.0,4206.0,5688500.0,4275.0,False
2025-09-30,65250.0,4276.0,4429.0,4156.0,4199.0,0.0,0.0,5756200.0,24539606000.0,1.0,4276.0,4429.0,4156.0,4199.0,5756200.0,4206.0,False
2025-10-01,65250.0,4250.0,4327.0,4188.0,4240.0,0.0,0.0,4102900.0,17438656400.0,1.0,4250.0,4327.0,4188.0,4240.0,4102900.0,4199.0,False
2025-10-02,65250.0,4543.0,4760.0,4494.0,4719.0,0.0,0.0,11703400.0,54243177600.0,1.0,4543.0,4760.0,4494.0,4719.0,11703400.0,4240.0,False
2025-10-03,65250.0,4750.0,4798.0,4614.0,4673.0,0.0,0.0,6798700.0,31899900200.0,1.0,4750.0,4798.0,4614.0,4673.0,6798700.0,4719.0,False
2025-10-06,65250.0,4768.0,4869.0,4702.0,4869.0,0.0,0.0,5899500.0,28316482400.0,1.0,4768.0,4869.0,4702.0,4869.0,5899500.0,4673.0,False
2025-10-07,65250.0,5009.0,5094.0,4688.0,4774.0,0.0,0.0,7308100.0,35513389900.0,1.0,5009.0,5094.0,4688.0,4774.0,7308100.0,4869.0,False
2025-10-08,65250.0,4700.0,4857.0,4595.0,4724.0,0.0,0.0,5440500.0,25683387500.0,1.0,4700.0,4857.0,4595.0,4724.0,5440500.0,4774.0,False
2025-10-09,65250.0,4596.0,4668.0,4476.0,4530.0,0.0,0.0,9308200.0,42355664500.0,1.0,4596.0,4668.0,4476.0,4530.0,9308200.0,4724.0,False
2025-10-10,65250.0,4500.0,4575.0,4354.0,4445.0,0.0,0.0,5608000.0,25089278600.0,1.0,4500.0,4575.0,4354.0,4445.0,5608000.0,4530.0,False
2025-10-14,65250.0,4466.0,4585.0,4187.0,4204.0,0.0,0.0,6146800.0,26712440700.0,1.0,4466.0,4585.0,4187.0,4204.0,6146800.0,4445.0,False
2025-10-15,65250.0,4171.0,4545.0,4158.0,4483.0,0.0,0.0,6522800.0,28663434800.0,1.0,4171.0,4545.0,4158.0,4483.0,6522800.0,4204.0,False
2025-10-16,65250.0,4670.0,4789.0,4603.0,4758.0,0.0,0.0,6446100.0,30357061100.0,1.0,4670.0,4789.0,4603.0,4758.0,6446100.0,4483.0,False
2025-10-17,65250.0,4750.0,4759.0,4640.0,4721.0,0.0,0.0,3792200.0,17852628000.0,1.0,4750.0,4759.0,4640.0,4721.0,3792200.0,4758.0,False
2025-10-20,65250.0,4900.0,4995.0,4844.0,4914.0,0.0,0.0,5300500.0,26018626900.0,1.0,4900.0,4995.0,4844.0,4914.0,5300500.0,4721.0,False
2025-10-21,65250.0,4962.0,5019.0,4779.0,4820.0,0.0,0.0,4979800.0,24442479300.0,1.0,4962.0,5019.0,4779.0,4820.0,4979800.0,4914.0,False
2025-10-22,65250.0,4751.0,4943.0,4666.0,4892.0,0.0,0.0,5271300.0,25414816500.0,1.0,4751.0,4943.0,4666.0,4892.0,5271300.0,4820.0,False
2025-10-23,65250.0,4752.0,4820.0,4666.0,4714.0,0.0,0.0,3398400.0,16039605000.0,1.0,4752.0,4820.0,4666.0,4714.0,3398400.0,4892.0,False
2025-10-24,65250.0,4849.0,4924.0,4766.0,4877.0,0.0,0.0,3773900.0,18372942700.0,1.0,4849.0,4924.0,4766.0,4877.0,3773900.0,4714.0,False
2025-10-27,65250.0,5019.0,5079.0,4891.0,5073.0,0.0,0.0,4562900.0,22799171000.0,1.0,5019.0,5079.0,4891.0,5073.0,4562900.0,4877.0,False
2025-10-28,65250.0,5085.0,5239.0,4984.0,5009.0,0.0,0.0,4040700.0,20567023200.0,1.0,5085.0,5239.0,4984.0,5009.0,4040700.0,5073.0,False
2025-10-29,65250.0,5097.0,5557.0,5046.0,5514.0,0.0,0.0,9460900.0,50962470700.0,1.0,5097.0,5557.0,5046.0,5514.0,9460900.0,5009.0,False
2025-10-30,65250.0,5414.0,5507.0,5269.0,5445.0,0.0,0.0,13297400.0,72168161200.0,1.0,5414.0,5507.0,5269.0,5445.0,13297400.0,5514.0,False
2025-10-31,65250.0,5500.0,5699.0,5430.0,5672.0,0.0,0.0,7450600.0,41651565600.0,1.0,5500.0,5699.0,5430.0,5672.0,7450600.0,5445.0,False
2025-11-04,65250.0,5700.0,5897.0,5656.0,5679.0,0.0,0.0,6533000.0,37529305900.0,1.0,5700.0,5897.0,5656.0,5679.0,6533000.0,5672.0,False
2025-11-05,65250.0,5480.0,5563.0,5269.0,5500.0,0.0,0.0,7886700.0,42932577200.0,1.0,5480.0,5563.0,5269.0,5500.0,7886700.0,5679.0,False
2025-11-06,65250.0,5773.0,5888.0,5650.0,5847.0,0.0,0.0,6328700.0,36457574600.0,1.0,5773.0,5888.0,5650.0,5847.0,6328700.0,5500.0,False
2025-11-07,65250.0,5647.0,5801.0,5581.0,5801.0,0.0,0.0,5476100.0,31262376200.0,1.0,5647.0,5801.0,5581.0,5801.0,5476100.0,5847.0,False
2025-11-10,65250.0,5892.0,6135.0,5837.0,5919.0,0.0,0.0,4786500.0,28792368600.0,1.0,5892.0,6135.0,5837.0,5919.0,4786500.0,5801.0,False
2025-11-11,65250.0,5905.0,6090.0,5050.0,5442.0,0.0,0.0,14216200.0,79177645800.0,1.0,5905.0,6090.0,5050.0,5442.0,14216200.0,5919.0,False
2025-11-12,65250.0,4592.0,4793.0,4442.0,4442.0,0.0,1.0,11984100.0,54387714900.0,1.0,4592.0,4793.0,4442.0,4442.0,11984100.0,5442.0,False
2025-11-13,65250.0,4386.0,4476.0,4166.0,4374.0,0.0,0.0,13768700.0,59412195200.0,1.0,4386.0,4476.0,4166.0,4374.0,13768700.0,4442.0,False
2025-11-14,65250.0,4250.0,4289.0,4077.0,4112.0,0.0,0.0,7476300.0,31011862600.0,1.0,4250.0,4289.0,4077.0,4112.0,7476300.0,4374.0,False
2025-11-17,65250.0,4236.0,4458.0,4105.0,4455.0,0.0,0.0,7333700.0,31883359700.0,1.0,4236.0,4458.0,4105.0,4455.0,7333700.0,4112.0,False
2025-11-18,65250.0,4400.0,4431.0,4010.0,4033.0,0.0,0.0,7347900.0,30293175600.0,1.0,4400.0,4431.0,4010.0,4033.0,7347900.0,4455.0,False
2025-11-19,65250.0,4052.0,4112.0,3920.0,4013.0,0.0,0.0,5461000.0,22001900700.0,1.0,4052.0,4112.0,3920.0,4013.0,5461000.0,4033.0,False
2025-11-20,65250.0,4367.0,4466.0,4200.0,4221.0,0.0,0.0,6929300.0,29875693200.0,1.0,4367.0,4466.0,4200.0,4221.0,6929300.0,4013.0,False
2025-11-21,65250.0,3998.0,4013.0,3852.0,3915.0,0.0,0.0,5334100.0,20912458600.0,1.0,3998.0,4013.0,3852.0,3915.0,5334100.0,4221.0,False
2025-11-25,65250.0,4125.0,4193.0,4067.0,4177.0,0.0,0.0,6028600.0,25002124100.0,1.0,4125.0,4193.0,4067.0,4177.0,6028600.0,3915.0,False
2025-11-26,65250.0,4170.0,4238.0,4108.0,4151.0,0.0,0.0,3741300.0,15552369000.0,1.0,4170.0,4238.0,4108.0,4151.0,3741300.0,4177.0,False
2025-11-27,65250.0,4299.0,4442.0,4282.0,4371.0,0.0,0.0,5538500.0,24136211500.0,1.0,4299.0,4442.0,4282.0,4371.0,5538500.0,4151.0,False
2025-11-28,65250.0,4370.0,4399.0,4278.0,4296.0,0.0,0.0,1870200.0,8071368900.0,1.0,4370.0,4399.0,4278.0,4296.0,1870200.0,4371.0,False
2025-12-01,65250.0,4360.0,4383.0,4251.0,4267.0,0.0,0.0,3693500.0,15872004700.0,1.0,4360.0,4383.0,4251.0,4267.0,3693500.0,4296.0,False
2025-12-02,65250.0,4378.0,4524.0,4355.0,4421.0,0.0,0.0,3048900.0,13474722500.0,1.0,4378.0,4524.0,4355.0,4421.0,3048900.0,4267.0,False
2025-12-03,65250.0,4630.0,4769.0,4561.0,4594.0,0.0,0.0,5365800.0,24922024200.0,1.0,4630.0,4769.0,4561.0,4594.0,5365800.0,4421.0,False
2025-12-04,65250.0,4664.0,4741.0,4583.0,4681.0,0.0,0.0,3256500.0,15201483200.0,1.0,4664.0,4741.0,4583.0,4681.0,3256500.0,4594.0,False
2025-12-05,65250.0,4637.0,4699.0,4592.0,4592.0,0.0,0.0,2537400.0,11770479200.0,1.0,4637.0,4699.0,4592.0,4592.0,2537400.0,4681.0,False
2025-12-08,65250.0,4650.0,4650.0,4509.0,4600.0,0.0,0.0,2169900.0,9943985500.0,1.0,4650.0,4650.0,4509.0,4600.0,2169900.0,4592.0,False
2025-12-09,65250.0,4643.0,4963.0,4615.0,4875.0,0.0,0.0,5205500.0,25307861200.0,1.0,4643.0,4963.0,4615.0,4875.0,5205500.0,4600.0,False
2025-12-10,65250.0,4820.0,4967.0,4699.0,4755.0,0.0,0.0,3917800.0,18791896800.0,1.0,4820.0,4967.0,4699.0,4755.0,3917800.0,4875.0,False
2025-12-11,65250.0,4747.0,4840.0,4732.0,4767.0,0.0,0.0,3485400.0,16668025200.0,1.0,4747.0,4840.0,4732.0,4767.0,3485400.0,4755.0,False
2025-12-12,65250.0,4837.0,4865.0,4625.0,4818.0,0.0,0.0,2893200.0,13754192000.0,1.0,4837.0,4865.0,4625.0,4818.0,2893200.0,4767.0,False
2025-12-15,65250.0,4602.0,4717.0,4502.0,4516.0,0.0,0.0,3393800.0,15476585400.0,1.0,4602.0,4717.0,4502.0,4516.0,3393800.0,4818.0,False
2025-12-16,65250.0,4490.0,4514.0,4381.0,4388.0,0.0,0.0,2237500.0,9877271800.0,1.0,4490.0,4514.0,4381.0,4388.0,2237500.0,4516.0,False
2025-12-17,65250.0,4397.0,4581.0,4299.0,4573.0,0.0,0.0,4051300.0,18264107300.0,1.0,4397.0,4581.0,4299.0,4573.0,4051300.0,4388.0,False
