Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,83410.0,5658.0,5682.0,5582.0,5625.0,0.0,0.0,173600.0,975065700.0,1.0,5658.0,5682.0,5582.0,5625.0,173600.0,
2025-08-28,83410.0,5577.0,5712.0,5577.0,5695.0,0.0,0.0,154500.0,877386600.0,1.0,5577.0,5712.0,5577.0,5695.0,154500.0,5625.0
2025-08-29,83410.0,5695.0,5727.0,5650.0,5709.0,0.0,0.0,160600.0,915487900.0,1.0,5695.0,5727.0,5650.0,5709.0,160600.0,5695.0
2025-09-01,83410.0,5675.0,5754.0,5632.0,5666.0,0.0,0.0,145700.0,828412000.0,1.0,5675.0,5754.0,5632.0,5666.0,145700.0,5709.0
2025-09-02,83410.0,5682.0,5794.0,5650.0,5765.0,0.0,0.0,126100.0,724748200.0,1.0,5682.0,5794.0,5650.0,5765.0,126100.0,5666.0
2025-09-03,83410.0,5736.0,5791.0,5547.0,5589.0,0.0,0.0,237700.0,1333673500.0,1.0,5736.0,5791.0,5547.0,5589.0,237700.0,5765.0
2025-09-04,83410.0,5622.0,5694.0,5597.0,5694.0,0.0,0.0,114300.0,647448600.0,1.0,5622.0,5694.0,5597.0,5694.0,114300.0,5589.0
2025-09-05,83410.0,5709.0,5744.0,5650.0,5671.0,0.0,0.0,158600.0,900945200.0,1.0,5709.0,5744.0,5650.0,5671.0,158600.0,5694.0
2025-09-08,83410.0,5681.0,5696.0,5616.0,5694.0,0.0,0.0,139400.0,790409300.0,1.0,5681.0,5696.0,5616.0,5694.0,139400.0,5671.0
2025-09-09,83410.0,5722.0,5737.0,5619.0,5651.0,0.0,0.0,150800.0,855437600.0,1.0,5722.0,5737.0,5619.0,5651.0,150800.0,5694.0
2025-09-10,83410.0,5651.0,5835.0,5641.0,5832.0,0.0,0.0,264000.0,1526583600.0,1.0,5651.0,5835.0,5641.0,5832.0,264000.0,5651.0
