Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2025-08-26,71920.0,453.0,453.0,449.0,450.0,0.0,0.0,15900.0,7169300.0,1.0,453.0,453.0,449.0,450.0,15900.0,,False
2025-08-27,71920.0,450.0,453.0,446.0,453.0,0.0,0.0,35600.0,16013100.0,1.0,450.0,453.0,446.0,453.0,35600.0,450.0,False
2025-08-28,71920.0,451.0,453.0,447.0,448.0,0.0,0.0,15100.0,6782200.0,1.0,451.0,453.0,447.0,448.0,15100.0,453.0,False
2025-08-29,71920.0,449.0,450.0,448.0,448.0,0.0,0.0,5700.0,2559400.0,1.0,449.0,450.0,448.0,448.0,5700.0,448.0,False
2025-09-01,71920.0,449.0,449.0,441.0,444.0,0.0,0.0,46200.0,20578900.0,1.0,449.0,449.0,441.0,444.0,46200.0,448.0,False
2025-09-02,71920.0,442.0,447.0,442.0,444.0,0.0,0.0,14000.0,6231900.0,1.0,442.0,447.0,442.0,444.0,14000.0,444.0,False
2025-09-03,71920.0,447.0,448.0,441.0,444.0,0.0,0.0,38300.0,16971700.0,1.0,447.0,448.0,441.0,444.0,38300.0,444.0,False
2025-09-04,71920.0,442.0,446.0,442.0,446.0,0.0,0.0,8700.0,3859100.0,1.0,442.0,446.0,442.0,446.0,8700.0,444.0,False
2025-09-05,71920.0,442.0,447.0,442.0,447.0,0.0,0.0,13800.0,6129700.0,1.0,442.0,447.0,442.0,447.0,13800.0,446.0,False
2025-09-08,71920.0,447.0,450.0,445.0,450.0,0.0,0.0,24200.0,10846600.0,1.0,447.0,450.0,445.0,450.0,24200.0,447.0,False
2025-09-09,71920.0,449.0,450.0,447.0,447.0,0.0,0.0,7300.0,3271400.0,1.0,449.0,450.0,447.0,447.0,7300.0,450.0,False
2025-09-10,71920.0,449.0,450.0,448.0,450.0,0.0,0.0,16500.0,7412900.0,1.0,449.0,450.0,448.0,450.0,16500.0,447.0,False
2025-09-11,71920.0,450.0,451.0,448.0,451.0,0.0,0.0,6500.0,2923500.0,1.0,450.0,451.0,448.0,451.0,6500.0,450.0,False
2025-09-12,71920.0,448.0,451.0,448.0,450.0,0.0,0.0,6700.0,3010200.0,1.0,448.0,451.0,448.0,450.0,6700.0,451.0,False
2025-09-16,71920.0,449.0,452.0,449.0,450.0,0.0,0.0,10500.0,4725100.0,1.0,449.0,452.0,449.0,450.0,10500.0,450.0,False
2025-09-17,71920.0,449.0,451.0,448.0,448.0,0.0,0.0,9700.0,4357300.0,1.0,449.0,451.0,448.0,448.0,9700.0,450.0,False
2025-09-18,71920.0,449.0,450.0,448.0,449.0,0.0,0.0,10100.0,4535000.0,1.0,449.0,450.0,448.0,449.0,10100.0,448.0,False
2025-09-19,71920.0,452.0,452.0,447.0,449.0,0.0,0.0,14300.0,6426800.0,1.0,452.0,452.0,447.0,449.0,14300.0,449.0,False
2025-09-22,71920.0,448.0,452.0,448.0,450.0,0.0,0.0,19500.0,8765800.0,1.0,448.0,452.0,448.0,450.0,19500.0,449.0,False
2025-09-24,71920.0,448.0,451.0,448.0,451.0,0.0,0.0,9700.0,4356700.0,1.0,448.0,451.0,448.0,451.0,9700.0,450.0,False
2025-09-25,71920.0,449.0,450.0,447.0,448.0,0.0,0.0,23200.0,10405100.0,1.0,449.0,450.0,447.0,448.0,23200.0,451.0,False
2025-09-26,71920.0,448.0,450.0,447.0,448.0,0.0,0.0,9100.0,4079300.0,1.0,448.0,450.0,447.0,448.0,9100.0,448.0,False
2025-09-29,71920.0,447.0,447.0,445.0,446.0,0.0,0.0,23300.0,10409400.0,1.0,447.0,447.0,445.0,446.0,23300.0,448.0,False
2025-09-30,71920.0,447.0,448.0,441.0,443.0,0.0,0.0,45400.0,20181900.0,1.0,447.0,448.0,441.0,443.0,45400.0,446.0,False
2025-10-01,71920.0,443.0,445.0,443.0,443.0,0.0,0.0,22300.0,9886300.0,1.0,443.0,445.0,443.0,443.0,22300.0,443.0,False
2025-10-02,71920.0,443.0,444.0,443.0,443.0,0.0,0.0,31200.0,13821700.0,1.0,443.0,444.0,443.0,443.0,31200.0,443.0,False
2025-10-03,71920.0,443.0,444.0,442.0,443.0,0.0,0.0,12100.0,5361400.0,1.0,443.0,444.0,442.0,443.0,12100.0,443.0,False
2025-10-06,71920.0,443.0,444.0,442.0,443.0,0.0,0.0,12400.0,5491900.0,1.0,443.0,444.0,442.0,443.0,12400.0,443.0,False
2025-10-07,71920.0,442.0,444.0,441.0,442.0,0.0,0.0,15800.0,6989500.0,1.0,442.0,444.0,441.0,442.0,15800.0,443.0,False
2025-10-08,71920.0,442.0,444.0,441.0,442.0,0.0,0.0,9800.0,4335600.0,1.0,442.0,444.0,441.0,442.0,9800.0,442.0,False
