Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,66450.0,3787.0,3818.0,3771.0,3803.0,0.0,0.0,1995100.0,7568933000.0,1.0,3787.0,3818.0,3771.0,3803.0,1995100.0,
2025-08-28,66450.0,3806.0,3850.0,3791.0,3838.0,0.0,0.0,1223700.0,4679854700.0,1.0,3806.0,3850.0,3791.0,3838.0,1223700.0,3803.0
2025-08-29,66450.0,3849.0,3859.0,3785.0,3792.0,0.0,0.0,1661100.0,6318891700.0,1.0,3849.0,3859.0,3785.0,3792.0,1661100.0,3838.0
2025-09-01,66450.0,3760.0,3796.0,3727.0,3792.0,0.0,0.0,1172500.0,4417851100.0,1.0,3760.0,3796.0,3727.0,3792.0,1172500.0,3792.0
2025-09-02,66450.0,3790.0,3837.0,3764.0,3786.0,0.0,0.0,1355300.0,5139760300.0,1.0,3790.0,3837.0,3764.0,3786.0,1355300.0,3792.0
2025-09-03,66450.0,3768.0,3864.0,3763.0,3847.0,0.0,0.0,1790100.0,6862456500.0,1.0,3768.0,3864.0,3763.0,3847.0,1790100.0,3786.0
2025-09-04,66450.0,3840.0,3858.0,3802.0,3851.0,0.0,0.0,1179300.0,4531601700.0,1.0,3840.0,3858.0,3802.0,3851.0,1179300.0,3847.0
2025-09-05,66450.0,3858.0,3921.0,3839.0,3890.0,0.0,0.0,1353000.0,5265117900.0,1.0,3858.0,3921.0,3839.0,3890.0,1353000.0,3851.0
2025-09-08,66450.0,3947.0,4001.0,3929.0,3949.0,0.0,0.0,1470500.0,5820214800.0,1.0,3947.0,4001.0,3929.0,3949.0,1470500.0,3890.0
2025-09-09,66450.0,3951.0,3997.0,3875.0,3881.0,0.0,0.0,1525000.0,5956178900.0,1.0,3951.0,3997.0,3875.0,3881.0,1525000.0,3949.0
2025-09-10,66450.0,3881.0,3887.0,3818.0,3873.0,0.0,0.0,1482200.0,5717701200.0,1.0,3881.0,3887.0,3818.0,3873.0,1482200.0,3881.0
2025-09-11,66450.0,3857.0,3922.0,3852.0,3905.0,0.0,0.0,1096800.0,4274984000.0,1.0,3857.0,3922.0,3852.0,3905.0,1096800.0,3873.0
2025-09-12,66450.0,3960.0,3960.0,3900.0,3958.0,0.0,0.0,1542200.0,6086411000.0,1.0,3960.0,3960.0,3900.0,3958.0,1542200.0,3905.0
2025-09-16,66450.0,3951.0,3995.0,3930.0,3946.0,0.0,0.0,1127700.0,4466628100.0,1.0,3951.0,3995.0,3930.0,3946.0,1127700.0,3958.0
2025-09-17,66450.0,3951.0,4012.0,3930.0,4004.0,0.0,0.0,1507500.0,6013810100.0,1.0,3951.0,4012.0,3930.0,4004.0,1507500.0,3946.0
2025-09-18,66450.0,4010.0,4065.0,3980.0,4023.0,0.0,0.0,1057500.0,4258541000.0,1.0,4010.0,4065.0,3980.0,4023.0,1057500.0,4004.0
2025-09-19,66450.0,4033.0,4051.0,3910.0,3953.0,0.0,0.0,2041900.0,8095161800.0,1.0,4033.0,4051.0,3910.0,3953.0,2041900.0,4023.0
2025-09-22,66450.0,4044.0,4243.0,4031.0,4206.0,0.0,0.0,3114500.0,13046118100.0,1.0,4044.0,4243.0,4031.0,4206.0,3114500.0,3953.0
