Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2025-08-26,42370.0,328.0,328.0,325.0,325.0,0.0,0.0,31300.0,10210400.0,1.0,328.0,328.0,325.0,325.0,31300.0,,False
2025-08-27,42370.0,326.0,327.0,325.0,325.0,0.0,0.0,23600.0,7686600.0,1.0,326.0,327.0,325.0,325.0,23600.0,325.0,False
2025-08-28,42370.0,325.0,327.0,325.0,325.0,0.0,0.0,24000.0,7810400.0,1.0,325.0,327.0,325.0,325.0,24000.0,325.0,False
2025-08-29,42370.0,325.0,326.0,324.0,324.0,0.0,0.0,16100.0,5228200.0,1.0,325.0,326.0,324.0,324.0,16100.0,325.0,False
2025-09-01,42370.0,324.0,324.0,321.0,321.0,0.0,0.0,33200.0,10697000.0,1.0,324.0,324.0,321.0,321.0,33200.0,324.0,False
2025-09-02,42370.0,323.0,326.0,321.0,325.0,0.0,0.0,22400.0,7245500.0,1.0,323.0,326.0,321.0,325.0,22400.0,321.0,False
2025-09-03,42370.0,326.0,326.0,321.0,321.0,0.0,0.0,30900.0,9968200.0,1.0,326.0,326.0,321.0,321.0,30900.0,325.0,False
2025-09-04,42370.0,321.0,323.0,320.0,320.0,0.0,0.0,32100.0,10286800.0,1.0,321.0,323.0,320.0,320.0,32100.0,321.0,False
2025-09-05,42370.0,321.0,323.0,321.0,323.0,0.0,0.0,17900.0,5765400.0,1.0,321.0,323.0,321.0,323.0,17900.0,320.0,False
2025-09-08,42370.0,326.0,327.0,325.0,327.0,0.0,0.0,30300.0,9887100.0,1.0,326.0,327.0,325.0,327.0,30300.0,323.0,False
2025-09-09,42370.0,337.0,338.0,330.0,330.0,0.0,0.0,158000.0,52869700.0,1.0,337.0,338.0,330.0,330.0,158000.0,327.0,False
2025-09-10,42370.0,330.0,334.0,330.0,331.0,0.0,0.0,48600.0,16127000.0,1.0,330.0,334.0,330.0,331.0,48600.0,330.0,False
2025-09-11,42370.0,334.0,334.0,329.0,329.0,0.0,0.0,31300.0,10365800.0,1.0,334.0,334.0,329.0,329.0,31300.0,331.0,False
2025-09-12,42370.0,329.0,329.0,324.0,326.0,0.0,0.0,39800.0,12964600.0,1.0,329.0,329.0,324.0,326.0,39800.0,329.0,False
2025-09-16,42370.0,331.0,333.0,329.0,332.0,0.0,0.0,73700.0,24427900.0,1.0,331.0,333.0,329.0,332.0,73700.0,326.0,False
2025-09-17,42370.0,332.0,333.0,326.0,331.0,0.0,0.0,46000.0,15185400.0,1.0,332.0,333.0,326.0,331.0,46000.0,332.0,False
2025-09-18,42370.0,330.0,331.0,327.0,327.0,0.0,0.0,44900.0,14744900.0,1.0,330.0,331.0,327.0,327.0,44900.0,331.0,False
2025-09-19,42370.0,328.0,338.0,325.0,328.0,0.0,0.0,96100.0,31733900.0,1.0,328.0,338.0,325.0,328.0,96100.0,327.0,False
2025-09-22,42370.0,336.0,339.0,329.0,329.0,0.0,0.0,112400.0,37604700.0,1.0,336.0,339.0,329.0,329.0,112400.0,328.0,False
2025-09-24,42370.0,329.0,331.0,325.0,326.0,0.0,0.0,52800.0,17289800.0,1.0,329.0,331.0,325.0,326.0,52800.0,329.0,False
2025-09-25,42370.0,326.0,331.0,325.0,327.0,0.0,0.0,65600.0,21463200.0,1.0,326.0,331.0,325.0,327.0,65600.0,326.0,False
