Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,94440.0,624.0,625.0,621.0,624.0,0.0,0.0,4500.0,2808600.0,1.0,624.0,625.0,621.0,624.0,4500.0,
2025-08-28,94440.0,624.0,625.0,620.0,621.0,0.0,0.0,7600.0,4735200.0,1.0,624.0,625.0,620.0,621.0,7600.0,624.0
2025-08-29,94440.0,624.0,625.0,621.0,625.0,0.0,0.0,2600.0,1622700.0,1.0,624.0,625.0,621.0,625.0,2600.0,621.0
2025-09-01,94440.0,622.0,625.0,620.0,620.0,0.0,0.0,9100.0,5658000.0,1.0,622.0,625.0,620.0,620.0,9100.0,625.0
2025-09-02,94440.0,622.0,622.0,618.0,620.0,0.0,0.0,6300.0,3907000.0,1.0,622.0,622.0,618.0,620.0,6300.0,620.0
2025-09-03,94440.0,617.0,623.0,617.0,620.0,0.0,0.0,2800.0,1734300.0,1.0,617.0,623.0,617.0,620.0,2800.0,620.0
2025-09-04,94440.0,620.0,620.0,619.0,620.0,0.0,0.0,3400.0,2107800.0,1.0,620.0,620.0,619.0,620.0,3400.0,620.0
2025-09-05,94440.0,618.0,621.0,617.0,619.0,0.0,0.0,3800.0,2349500.0,1.0,618.0,621.0,617.0,619.0,3800.0,620.0
2025-09-08,94440.0,619.0,623.0,619.0,620.0,0.0,0.0,7300.0,4526600.0,1.0,619.0,623.0,619.0,620.0,7300.0,619.0
2025-09-09,94440.0,622.0,624.0,620.0,624.0,0.0,0.0,8500.0,5287700.0,1.0,622.0,624.0,620.0,624.0,8500.0,620.0
2025-09-10,94440.0,624.0,625.0,620.0,621.0,0.0,0.0,5900.0,3673500.0,1.0,624.0,625.0,620.0,621.0,5900.0,624.0
2025-09-11,94440.0,623.0,623.0,620.0,623.0,0.0,0.0,3700.0,2301300.0,1.0,623.0,623.0,620.0,623.0,3700.0,621.0
2025-09-12,94440.0,623.0,625.0,621.0,623.0,0.0,0.0,1500.0,934900.0,1.0,623.0,625.0,621.0,623.0,1500.0,623.0
2025-09-16,94440.0,621.0,625.0,621.0,622.0,0.0,0.0,3700.0,2306100.0,1.0,621.0,625.0,621.0,622.0,3700.0,623.0
2025-09-17,94440.0,622.0,625.0,621.0,625.0,0.0,0.0,8600.0,5358800.0,1.0,622.0,625.0,621.0,625.0,8600.0,622.0
2025-09-18,94440.0,624.0,624.0,621.0,623.0,0.0,0.0,4000.0,2491000.0,1.0,624.0,624.0,621.0,623.0,4000.0,625.0
2025-09-19,94440.0,620.0,624.0,620.0,623.0,0.0,0.0,5400.0,3352400.0,1.0,620.0,624.0,620.0,623.0,5400.0,623.0
2025-09-22,94440.0,622.0,623.0,620.0,621.0,0.0,0.0,9300.0,5777100.0,1.0,622.0,623.0,620.0,621.0,9300.0,623.0
2025-09-24,94440.0,622.0,624.0,621.0,624.0,0.0,0.0,4900.0,3048300.0,1.0,622.0,624.0,621.0,624.0,4900.0,621.0
2025-09-25,94440.0,624.0,624.0,621.0,621.0,0.0,0.0,8500.0,5295400.0,1.0,624.0,624.0,621.0,621.0,8500.0,624.0
2025-09-26,94440.0,622.0,623.0,620.0,622.0,0.0,0.0,18400.0,11435300.0,1.0,622.0,623.0,620.0,622.0,18400.0,621.0
2025-09-29,94440.0,622.0,630.0,622.0,623.0,0.0,0.0,16700.0,10433900.0,1.0,622.0,630.0,622.0,623.0,16700.0,622.0
2025-09-30,94440.0,623.0,629.0,622.0,626.0,0.0,0.0,12500.0,7817800.0,1.0,623.0,629.0,622.0,626.0,12500.0,623.0
2025-10-01,94440.0,626.0,628.0,623.0,623.0,0.0,0.0,9500.0,5942900.0,1.0,626.0,628.0,623.0,623.0,9500.0,626.0
2025-10-02,94440.0,621.0,627.0,620.0,620.0,0.0,0.0,10100.0,6276000.0,1.0,621.0,627.0,620.0,620.0,10100.0,623.0
2025-10-03,94440.0,620.0,622.0,618.0,618.0,0.0,0.0,2500.0,1549200.0,1.0,620.0,622.0,618.0,618.0,2500.0,620.0
2025-10-06,94440.0,615.0,623.0,602.0,620.0,0.0,0.0,13300.0,8174500.0,1.0,615.0,623.0,602.0,620.0,13300.0,618.0
2025-10-07,94440.0,620.0,623.0,618.0,620.0,0.0,0.0,6500.0,4028300.0,1.0,620.0,623.0,618.0,620.0,6500.0,620.0
2025-10-08,94440.0,619.0,621.0,615.0,615.0,0.0,0.0,3500.0,2160800.0,1.0,619.0,621.0,615.0,615.0,3500.0,620.0
2025-10-09,94440.0,618.0,619.0,615.0,619.0,0.0,0.0,3000.0,1850400.0,1.0,618.0,619.0,615.0,619.0,3000.0,615.0
2025-10-10,94440.0,618.0,622.0,617.0,617.0,0.0,0.0,2300.0,1424100.0,1.0,618.0,622.0,617.0,617.0,2300.0,619.0
2025-10-14,94440.0,615.0,617.0,615.0,616.0,0.0,0.0,5500.0,3384600.0,1.0,615.0,617.0,615.0,616.0,5500.0,617.0
2025-10-15,94440.0,614.0,620.0,610.0,610.0,0.0,0.0,9500.0,5834100.0,1.0,614.0,620.0,610.0,610.0,9500.0,616.0
2025-10-16,94440.0,611.0,615.0,596.0,615.0,0.0,0.0,11000.0,6675300.0,1.0,611.0,615.0,596.0,615.0,11000.0,610.0
2025-10-17,94440.0,608.0,621.0,608.0,613.0,0.0,0.0,3600.0,2206200.0,1.0,608.0,621.0,608.0,613.0,3600.0,615.0
2025-10-20,94440.0,615.0,617.0,613.0,614.0,0.0,0.0,3600.0,2212700.0,1.0,615.0,617.0,613.0,614.0,3600.0,613.0
2025-10-21,94440.0,614.0,616.0,601.0,609.0,0.0,0.0,6700.0,4093500.0,1.0,614.0,616.0,601.0,609.0,6700.0,614.0
