Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,92650.0,3105.0,3105.0,3010.0,3080.0,0.0,0.0,1400.0,4271500.0,1.0,3105.0,3105.0,3010.0,3080.0,1400.0,
2025-08-28,92650.0,3075.0,3075.0,3075.0,3075.0,0.0,0.0,400.0,1230000.0,1.0,3075.0,3075.0,3075.0,3075.0,400.0,3080.0
2025-08-29,92650.0,3015.0,3070.0,2985.0,3040.0,0.0,0.0,1400.0,4226300.0,1.0,3015.0,3070.0,2985.0,3040.0,1400.0,3075.0
2025-09-01,92650.0,3010.0,3100.0,3010.0,3100.0,0.0,0.0,1100.0,3394500.0,1.0,3010.0,3100.0,3010.0,3100.0,1100.0,3040.0
2025-09-02,92650.0,3095.0,3095.0,3025.0,3085.0,0.0,0.0,800.0,2435500.0,1.0,3095.0,3095.0,3025.0,3085.0,800.0,3100.0
2025-09-03,92650.0,3050.0,3085.0,3050.0,3085.0,0.0,0.0,300.0,922000.0,1.0,3050.0,3085.0,3050.0,3085.0,300.0,3085.0
2025-09-04,92650.0,,,,,0.0,0.0,,,1.0,,,,,,3085.0
2025-09-05,92650.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-09-08,92650.0,3015.0,3085.0,3015.0,3080.0,0.0,0.0,900.0,2737500.0,1.0,3015.0,3085.0,3015.0,3080.0,900.0,
2025-09-09,92650.0,3080.0,3080.0,3080.0,3080.0,0.0,0.0,100.0,308000.0,1.0,3080.0,3080.0,3080.0,3080.0,100.0,3080.0
2025-09-10,92650.0,3010.0,3075.0,2992.0,3055.0,0.0,0.0,1100.0,3321700.0,1.0,3010.0,3075.0,2992.0,3055.0,1100.0,3080.0
2025-09-11,92650.0,3025.0,3045.0,2975.0,3020.0,0.0,0.0,1300.0,3921000.0,1.0,3025.0,3045.0,2975.0,3020.0,1300.0,3055.0
2025-09-12,92650.0,3020.0,3100.0,3020.0,3090.0,0.0,0.0,600.0,1833500.0,1.0,3020.0,3100.0,3020.0,3090.0,600.0,3020.0
2025-09-16,92650.0,3030.0,3085.0,2985.0,3065.0,0.0,0.0,1400.0,4230200.0,1.0,3030.0,3085.0,2985.0,3065.0,1400.0,3090.0
2025-09-17,92650.0,3015.0,3090.0,2998.0,3090.0,0.0,0.0,1300.0,3946800.0,1.0,3015.0,3090.0,2998.0,3090.0,1300.0,3065.0
2025-09-18,92650.0,3025.0,3085.0,3020.0,3085.0,0.0,0.0,1100.0,3351000.0,1.0,3025.0,3085.0,3020.0,3085.0,1100.0,3090.0
2025-09-19,92650.0,3085.0,3090.0,3020.0,3065.0,0.0,0.0,1700.0,5199000.0,1.0,3085.0,3090.0,3020.0,3065.0,1700.0,3085.0
2025-09-22,92650.0,3060.0,3095.0,3060.0,3095.0,0.0,0.0,500.0,1544000.0,1.0,3060.0,3095.0,3060.0,3095.0,500.0,3065.0
2025-09-24,92650.0,3095.0,3095.0,3045.0,3090.0,0.0,0.0,2900.0,8897500.0,1.0,3095.0,3095.0,3045.0,3090.0,2900.0,3095.0
