Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,75610.0,638.0,638.0,634.0,634.0,0.0,0.0,50500.0,32173600.0,1.0,638.0,638.0,634.0,634.0,50500.0,
2025-08-28,75610.0,634.0,640.0,634.0,640.0,0.0,0.0,6700.0,4264400.0,1.0,634.0,640.0,634.0,640.0,6700.0,634.0
2025-08-29,75610.0,638.0,640.0,637.0,640.0,0.0,0.0,5800.0,3703300.0,1.0,638.0,640.0,637.0,640.0,5800.0,640.0
2025-09-01,75610.0,641.0,643.0,634.0,638.0,0.0,0.0,20200.0,12894600.0,1.0,641.0,643.0,634.0,638.0,20200.0,640.0
2025-09-02,75610.0,640.0,642.0,637.0,639.0,0.0,0.0,15200.0,9719400.0,1.0,640.0,642.0,637.0,639.0,15200.0,638.0
2025-09-03,75610.0,639.0,644.0,632.0,632.0,0.0,0.0,28200.0,17982400.0,1.0,639.0,644.0,632.0,632.0,28200.0,639.0
2025-09-04,75610.0,640.0,642.0,635.0,642.0,0.0,0.0,23400.0,14939800.0,1.0,640.0,642.0,635.0,642.0,23400.0,632.0
2025-09-05,75610.0,642.0,651.0,640.0,648.0,0.0,0.0,43000.0,27780000.0,1.0,642.0,651.0,640.0,648.0,43000.0,642.0
2025-09-08,75610.0,648.0,650.0,645.0,646.0,0.0,0.0,30900.0,20009200.0,1.0,648.0,650.0,645.0,646.0,30900.0,648.0
2025-09-09,75610.0,646.0,650.0,645.0,646.0,0.0,0.0,23300.0,15081800.0,1.0,646.0,650.0,645.0,646.0,23300.0,646.0
2025-09-10,75610.0,655.0,667.0,649.0,663.0,0.0,0.0,83400.0,55057000.0,1.0,655.0,667.0,649.0,663.0,83400.0,646.0
2025-09-11,75610.0,663.0,663.0,651.0,654.0,0.0,0.0,39200.0,25692900.0,1.0,663.0,663.0,651.0,654.0,39200.0,663.0
2025-09-12,75610.0,657.0,657.0,650.0,655.0,0.0,0.0,24600.0,16040800.0,1.0,657.0,657.0,650.0,655.0,24600.0,654.0
2025-09-16,75610.0,655.0,655.0,649.0,650.0,0.0,0.0,16800.0,10929100.0,1.0,655.0,655.0,649.0,650.0,16800.0,655.0
2025-09-17,75610.0,650.0,651.0,645.0,647.0,0.0,0.0,25100.0,16254500.0,1.0,650.0,651.0,645.0,647.0,25100.0,650.0
2025-09-18,75610.0,650.0,650.0,646.0,648.0,0.0,0.0,6800.0,4406500.0,1.0,650.0,650.0,646.0,648.0,6800.0,647.0
2025-09-19,75610.0,646.0,648.0,642.0,646.0,0.0,0.0,36400.0,23466400.0,1.0,646.0,648.0,642.0,646.0,36400.0,648.0
2025-09-22,75610.0,645.0,650.0,644.0,650.0,0.0,0.0,20600.0,13320400.0,1.0,645.0,650.0,644.0,650.0,20600.0,646.0
2025-09-24,75610.0,650.0,650.0,644.0,647.0,0.0,0.0,13000.0,8411400.0,1.0,650.0,650.0,644.0,647.0,13000.0,650.0
2025-09-25,75610.0,648.0,655.0,648.0,654.0,0.0,0.0,13100.0,8541900.0,1.0,648.0,655.0,648.0,654.0,13100.0,647.0
2025-09-26,75610.0,654.0,662.0,653.0,661.0,0.0,0.0,21000.0,13817600.0,1.0,654.0,662.0,653.0,661.0,21000.0,654.0
2025-09-29,75610.0,654.0,655.0,645.0,650.0,0.0,0.0,30300.0,19682700.0,1.0,654.0,655.0,645.0,650.0,30300.0,661.0
2025-09-30,75610.0,653.0,653.0,633.0,633.0,0.0,0.0,35900.0,22963500.0,1.0,653.0,653.0,633.0,633.0,35900.0,650.0
2025-10-01,75610.0,633.0,633.0,619.0,619.0,0.0,0.0,53600.0,33480300.0,1.0,633.0,633.0,619.0,619.0,53600.0,633.0
2025-10-02,75610.0,618.0,623.0,618.0,620.0,0.0,0.0,76300.0,47182700.0,1.0,618.0,623.0,618.0,620.0,76300.0,619.0
2025-10-03,75610.0,620.0,627.0,619.0,625.0,0.0,0.0,25500.0,15871100.0,1.0,620.0,627.0,619.0,625.0,25500.0,620.0
2025-10-06,75610.0,645.0,645.0,630.0,641.0,0.0,0.0,49200.0,31523900.0,1.0,645.0,645.0,630.0,641.0,49200.0,625.0
2025-10-07,75610.0,645.0,645.0,637.0,642.0,0.0,0.0,19700.0,12637400.0,1.0,645.0,645.0,637.0,642.0,19700.0,641.0
2025-10-08,75610.0,642.0,644.0,635.0,641.0,0.0,0.0,15300.0,9784500.0,1.0,642.0,644.0,635.0,641.0,15300.0,642.0
2025-10-09,75610.0,644.0,644.0,635.0,635.0,0.0,0.0,19400.0,12370500.0,1.0,644.0,644.0,635.0,635.0,19400.0,641.0
2025-10-10,75610.0,636.0,644.0,624.0,624.0,0.0,0.0,32500.0,20455300.0,1.0,636.0,644.0,624.0,624.0,32500.0,635.0
2025-10-14,75610.0,619.0,619.0,611.0,617.0,0.0,0.0,50600.0,31217900.0,1.0,619.0,619.0,611.0,617.0,50600.0,624.0
2025-10-15,75610.0,620.0,627.0,618.0,627.0,0.0,0.0,21400.0,13319200.0,1.0,620.0,627.0,618.0,627.0,21400.0,617.0
2025-10-16,75610.0,630.0,630.0,625.0,627.0,0.0,0.0,12500.0,7840100.0,1.0,630.0,630.0,625.0,627.0,12500.0,627.0
