Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2025-08-26,70310.0,805.0,808.0,805.0,808.0,0.0,0.0,1800.0,1451000.0,1.0,805.0,808.0,805.0,808.0,1800.0,,False
2025-08-27,70310.0,808.0,838.0,808.0,838.0,0.0,0.0,2600.0,2144500.0,1.0,808.0,838.0,808.0,838.0,2600.0,808.0,False
2025-08-28,70310.0,838.0,838.0,834.0,834.0,0.0,0.0,600.0,502400.0,1.0,838.0,838.0,834.0,834.0,600.0,838.0,False
2025-08-29,70310.0,810.0,820.0,800.0,801.0,0.0,0.0,2800.0,2250600.0,1.0,810.0,820.0,800.0,801.0,2800.0,834.0,False
2025-09-01,70310.0,802.0,804.0,801.0,801.0,0.0,0.0,900.0,721500.0,1.0,802.0,804.0,801.0,801.0,900.0,801.0,False
2025-09-02,70310.0,800.0,805.0,800.0,805.0,0.0,0.0,700.0,560600.0,1.0,800.0,805.0,800.0,805.0,700.0,801.0,False
2025-09-03,70310.0,802.0,807.0,802.0,807.0,0.0,0.0,500.0,402700.0,1.0,802.0,807.0,802.0,807.0,500.0,805.0,False
2025-09-04,70310.0,807.0,807.0,799.0,799.0,0.0,0.0,10000.0,8044100.0,1.0,807.0,807.0,799.0,799.0,10000.0,807.0,False
2025-09-05,70310.0,800.0,808.0,800.0,807.0,0.0,0.0,1100.0,884600.0,1.0,800.0,808.0,800.0,807.0,1100.0,799.0,False
2025-09-08,70310.0,810.0,810.0,807.0,807.0,0.0,0.0,700.0,566000.0,1.0,810.0,810.0,807.0,807.0,700.0,807.0,False
2025-09-09,70310.0,801.0,810.0,801.0,806.0,0.0,0.0,700.0,565300.0,1.0,801.0,810.0,801.0,806.0,700.0,807.0,False
2025-09-10,70310.0,810.0,810.0,798.0,798.0,0.0,0.0,1800.0,1443200.0,1.0,810.0,810.0,798.0,798.0,1800.0,806.0,False
2025-09-11,70310.0,798.0,798.0,790.0,790.0,0.0,0.0,2100.0,1665500.0,1.0,798.0,798.0,790.0,790.0,2100.0,798.0,False
2025-09-12,70310.0,793.0,795.0,793.0,795.0,0.0,0.0,200.0,158800.0,1.0,793.0,795.0,793.0,795.0,200.0,790.0,False
2025-09-16,70310.0,800.0,800.0,795.0,795.0,0.0,0.0,400.0,319100.0,1.0,800.0,800.0,795.0,795.0,400.0,795.0,False
2025-09-17,70310.0,795.0,802.0,790.0,802.0,0.0,0.0,900.0,714900.0,1.0,795.0,802.0,790.0,802.0,900.0,795.0,False
2025-09-18,70310.0,802.0,802.0,757.0,764.0,0.0,0.0,3700.0,2869700.0,1.0,802.0,802.0,757.0,764.0,3700.0,802.0,False
2025-09-19,70310.0,764.0,779.0,764.0,779.0,0.0,0.0,3600.0,2789200.0,1.0,764.0,779.0,764.0,779.0,3600.0,764.0,False
2025-09-22,70310.0,784.0,805.0,780.0,805.0,0.0,0.0,4100.0,3234400.0,1.0,784.0,805.0,780.0,805.0,4100.0,779.0,False
2025-09-24,70310.0,805.0,810.0,795.0,795.0,0.0,0.0,7900.0,6365400.0,1.0,805.0,810.0,795.0,795.0,7900.0,805.0,False
2025-09-25,70310.0,795.0,795.0,795.0,795.0,0.0,0.0,300.0,238500.0,1.0,795.0,795.0,795.0,795.0,300.0,795.0,False
2025-09-26,70310.0,795.0,803.0,795.0,798.0,0.0,0.0,1700.0,1359400.0,1.0,795.0,803.0,795.0,798.0,1700.0,795.0,False
2025-09-29,70310.0,778.0,783.0,778.0,781.0,0.0,0.0,2600.0,2024700.0,1.0,778.0,783.0,778.0,781.0,2600.0,798.0,False
2025-09-30,70310.0,781.0,782.0,776.0,781.0,0.0,0.0,2400.0,1871700.0,1.0,781.0,782.0,776.0,781.0,2400.0,781.0,False
2025-10-01,70310.0,781.0,792.0,777.0,777.0,0.0,0.0,400.0,313100.0,1.0,781.0,792.0,777.0,777.0,400.0,781.0,False
2025-10-02,70310.0,767.0,810.0,762.0,805.0,0.0,0.0,2300.0,1828300.0,1.0,767.0,810.0,762.0,805.0,2300.0,777.0,False
2025-10-03,70310.0,805.0,810.0,789.0,794.0,0.0,0.0,1300.0,1042300.0,1.0,805.0,810.0,789.0,794.0,1300.0,805.0,False
2025-10-06,70310.0,781.0,810.0,762.0,810.0,0.0,0.0,2200.0,1723100.0,1.0,781.0,810.0,762.0,810.0,2200.0,794.0,False
2025-10-07,70310.0,795.0,800.0,789.0,793.0,0.0,0.0,1200.0,952000.0,1.0,795.0,800.0,789.0,793.0,1200.0,810.0,False
2025-10-08,70310.0,782.0,791.0,782.0,791.0,0.0,0.0,200.0,157300.0,1.0,782.0,791.0,782.0,791.0,200.0,793.0,False
2025-10-09,70310.0,,,,,0.0,0.0,,,1.0,,,,,,791.0,False
2025-10-10,70310.0,781.0,799.0,781.0,799.0,0.0,0.0,1800.0,1427600.0,1.0,781.0,799.0,781.0,799.0,1800.0,,False
2025-10-14,70310.0,800.0,800.0,785.0,785.0,0.0,0.0,700.0,551300.0,1.0,800.0,800.0,785.0,785.0,700.0,799.0,False
2025-10-15,70310.0,800.0,800.0,760.0,780.0,0.0,0.0,1600.0,1246800.0,1.0,800.0,800.0,760.0,780.0,1600.0,785.0,False
2025-10-16,70310.0,757.0,804.0,742.0,804.0,0.0,0.0,6800.0,5282800.0,1.0,757.0,804.0,742.0,804.0,6800.0,780.0,False
2025-10-17,70310.0,804.0,804.0,789.0,789.0,0.0,0.0,200.0,159300.0,1.0,804.0,804.0,789.0,789.0,200.0,804.0,False
2025-10-20,70310.0,781.0,849.0,779.0,827.0,0.0,0.0,3500.0,2904700.0,1.0,781.0,849.0,779.0,827.0,3500.0,789.0,False
2025-10-21,70310.0,812.0,812.0,802.0,802.0,0.0,0.0,300.0,241600.0,1.0,812.0,812.0,802.0,802.0,300.0,827.0,False
2025-10-22,70310.0,787.0,787.0,787.0,787.0,0.0,0.0,300.0,236100.0,1.0,787.0,787.0,787.0,787.0,300.0,802.0,False
2025-10-23,70310.0,780.0,832.0,780.0,808.0,0.0,0.0,6000.0,4822400.0,1.0,780.0,832.0,780.0,808.0,6000.0,787.0,False
2025-10-24,70310.0,787.0,804.0,787.0,793.0,0.0,0.0,1400.0,1113700.0,1.0,787.0,804.0,787.0,793.0,1400.0,808.0,False
2025-10-27,70310.0,785.0,810.0,785.0,810.0,0.0,0.0,1400.0,1117000.0,1.0,785.0,810.0,785.0,810.0,1400.0,793.0,False
2025-10-28,70310.0,795.0,795.0,795.0,795.0,0.0,0.0,400.0,318000.0,1.0,795.0,795.0,795.0,795.0,400.0,810.0,False
2025-10-29,70310.0,786.0,786.0,771.0,778.0,0.0,0.0,1700.0,1321700.0,1.0,786.0,786.0,771.0,778.0,1700.0,795.0,False
2025-10-30,70310.0,763.0,789.0,763.0,789.0,0.0,0.0,500.0,391900.0,1.0,763.0,789.0,763.0,789.0,500.0,778.0,False
