Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,71860.0,1142.0,1145.5,1124.0,1126.0,0.0,0.0,3773900.0,4261659700.0,1.0,1142.0,1145.5,1124.0,1126.0,3773900.0,
2025-08-28,71860.0,1131.5,1137.0,1120.0,1135.5,0.0,0.0,2550400.0,2891529300.0,1.0,1131.5,1137.0,1120.0,1135.5,2550400.0,1126.0
2025-08-29,71860.0,1132.0,1133.5,1123.5,1125.5,0.0,0.0,2984100.0,3363518200.0,1.0,1132.0,1133.5,1123.5,1125.5,2984100.0,1135.5
2025-09-01,71860.0,1125.0,1135.5,1112.5,1120.0,0.0,0.0,1692500.0,1897745850.0,1.0,1125.0,1135.5,1112.5,1120.0,1692500.0,1125.5
2025-09-02,71860.0,1127.0,1137.0,1121.5,1134.0,0.0,0.0,2483900.0,2808821600.0,1.0,1127.0,1137.0,1121.5,1134.0,2483900.0,1120.0
2025-09-03,71860.0,1134.0,1136.0,1090.5,1102.5,0.0,0.0,3813800.0,4225060500.0,1.0,1134.0,1136.0,1090.5,1102.5,3813800.0,1134.0
2025-09-04,71860.0,1104.5,1118.0,1100.5,1114.0,0.0,0.0,2729600.0,3035315500.0,1.0,1104.5,1118.0,1100.5,1114.0,2729600.0,1102.5
2025-09-05,71860.0,1115.5,1128.5,1109.0,1118.0,0.0,0.0,2218400.0,2477742350.0,1.0,1115.5,1128.5,1109.0,1118.0,2218400.0,1114.0
2025-09-08,71860.0,1118.0,1125.0,1109.5,1120.5,0.0,0.0,2153200.0,2410262100.0,1.0,1118.0,1125.0,1109.5,1120.5,2153200.0,1118.0
2025-09-09,71860.0,1128.5,1135.0,1111.0,1121.0,0.0,0.0,2169300.0,2435300550.0,1.0,1128.5,1135.0,1111.0,1121.0,2169300.0,1120.5
2025-09-10,71860.0,1127.0,1143.0,1120.5,1143.0,0.0,0.0,2564000.0,2915328800.0,1.0,1127.0,1143.0,1120.5,1143.0,2564000.0,1121.0
2025-09-11,71860.0,1140.5,1143.0,1119.5,1124.0,0.0,0.0,2407700.0,2712965800.0,1.0,1140.5,1143.0,1119.5,1124.0,2407700.0,1143.0
