Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,76160.0,1955.0,1973.5,1953.0,1959.5,0.0,0.0,455500.0,893062950.0,1.0,1955.0,1973.5,1953.0,1959.5,455500.0,
2025-08-28,76160.0,1959.5,1982.0,1951.0,1981.5,0.0,0.0,333000.0,656066700.0,1.0,1959.5,1982.0,1951.0,1981.5,333000.0,1959.5
2025-08-29,76160.0,1978.5,1978.5,1946.0,1953.0,0.0,0.0,456000.0,892894600.0,1.0,1978.5,1978.5,1946.0,1953.0,456000.0,1981.5
2025-09-01,76160.0,1953.0,1964.0,1944.5,1952.0,0.0,0.0,294600.0,575363650.0,1.0,1953.0,1964.0,1944.5,1952.0,294600.0,1953.0
2025-09-02,76160.0,1958.5,1962.0,1931.5,1933.5,0.0,0.0,382900.0,744562700.0,1.0,1958.5,1962.0,1931.5,1933.5,382900.0,1952.0
2025-09-03,76160.0,1938.5,1944.0,1928.0,1942.5,0.0,0.0,317500.0,615314700.0,1.0,1938.5,1944.0,1928.0,1942.5,317500.0,1933.5
2025-09-04,76160.0,1935.5,1941.5,1921.0,1921.0,0.0,0.0,701800.0,1355210450.0,1.0,1935.5,1941.5,1921.0,1921.0,701800.0,1942.5
2025-09-05,76160.0,1918.0,1920.0,1893.5,1899.5,0.0,0.0,776700.0,1478100050.0,1.0,1918.0,1920.0,1893.5,1899.5,776700.0,1921.0
2025-09-08,76160.0,1915.5,1924.5,1909.5,1924.0,0.0,0.0,538300.0,1032145000.0,1.0,1915.5,1924.5,1909.5,1924.0,538300.0,1899.5
2025-09-09,76160.0,1930.0,1937.5,1917.0,1930.0,0.0,0.0,324000.0,624933700.0,1.0,1930.0,1937.5,1917.0,1930.0,324000.0,1924.0
2025-09-10,76160.0,1930.0,1940.0,1928.0,1932.5,0.0,0.0,241800.0,467747500.0,1.0,1930.0,1940.0,1928.0,1932.5,241800.0,1930.0
2025-09-11,76160.0,1938.0,1939.5,1915.5,1915.5,0.0,0.0,355600.0,685567450.0,1.0,1938.0,1939.5,1915.5,1915.5,355600.0,1932.5
2025-09-12,76160.0,1915.5,1920.5,1892.5,1893.5,0.0,0.0,720300.0,1370265950.0,1.0,1915.5,1920.5,1892.5,1893.5,720300.0,1915.5
2025-09-16,76160.0,1902.5,1916.5,1895.0,1914.0,0.0,0.0,439700.0,838762650.0,1.0,1902.5,1916.5,1895.0,1914.0,439700.0,1893.5
2025-09-17,76160.0,1915.0,1918.5,1899.0,1909.0,0.0,0.0,487100.0,929660850.0,1.0,1915.0,1918.5,1899.0,1909.0,487100.0,1914.0
2025-09-18,76160.0,1911.5,1924.0,1904.5,1916.0,0.0,0.0,350300.0,671383500.0,1.0,1911.5,1924.0,1904.5,1916.0,350300.0,1909.0
2025-09-19,76160.0,1925.0,1927.0,1907.5,1913.0,0.0,0.0,502200.0,963137450.0,1.0,1925.0,1927.0,1907.5,1913.0,502200.0,1916.0
2025-09-22,76160.0,1915.0,1916.0,1906.5,1906.5,0.0,0.0,526000.0,1005298100.0,1.0,1915.0,1916.0,1906.5,1906.5,526000.0,1913.0
2025-09-24,76160.0,1905.0,1915.0,1900.0,1902.5,0.0,0.0,730700.0,1391604500.0,1.0,1905.0,1915.0,1900.0,1902.5,730700.0,1906.5
2025-09-25,76160.0,1900.5,1912.5,1900.5,1912.5,0.0,0.0,845200.0,1610946200.0,1.0,1900.5,1912.5,1900.5,1912.5,845200.0,1902.5
2025-09-26,76160.0,1903.0,1918.0,1876.5,1885.0,0.0,0.0,3374100.0,6413788700.0,1.0,1903.0,1918.0,1876.5,1885.0,3374100.0,1912.5
2025-09-29,76160.0,1865.5,1889.5,1860.0,1864.5,0.0,0.0,2409000.0,4503482900.0,1.0,1865.5,1889.5,1860.0,1864.5,2409000.0,1885.0
2025-09-30,76160.0,1867.5,1874.5,1830.0,1830.0,0.0,0.0,692600.0,1279270350.0,1.0,1867.5,1874.5,1830.0,1830.0,692600.0,1864.5
2025-10-01,76160.0,1816.0,1816.0,1752.0,1755.5,0.0,0.0,864800.0,1531908000.0,1.0,1816.0,1816.0,1752.0,1755.5,864800.0,1830.0
2025-10-02,76160.0,1750.5,1762.5,1738.5,1745.0,0.0,0.0,625000.0,1093784050.0,1.0,1750.5,1762.5,1738.5,1745.0,625000.0,1755.5
2025-10-03,76160.0,1745.0,1754.5,1726.0,1748.0,0.0,0.0,543600.0,947537700.0,1.0,1745.0,1754.5,1726.0,1748.0,543600.0,1745.0
2025-10-06,76160.0,1783.5,1804.0,1770.0,1785.0,0.0,0.0,657100.0,1174901750.0,1.0,1783.5,1804.0,1770.0,1785.0,657100.0,1748.0
2025-10-07,76160.0,1784.0,1784.0,1747.0,1748.0,0.0,0.0,546100.0,958755200.0,1.0,1784.0,1784.0,1747.0,1748.0,546100.0,1785.0
2025-10-08,76160.0,1751.0,1768.5,1746.0,1746.0,0.0,0.0,387300.0,679533600.0,1.0,1751.0,1768.5,1746.0,1746.0,387300.0,1748.0
2025-10-09,76160.0,1740.0,1745.5,1710.0,1725.0,0.0,0.0,668100.0,1150278650.0,1.0,1740.0,1745.5,1710.0,1725.0,668100.0,1746.0
2025-10-10,76160.0,1722.5,1727.0,1712.5,1724.5,0.0,0.0,366900.0,631294750.0,1.0,1722.5,1727.0,1712.5,1724.5,366900.0,1725.0
2025-10-14,76160.0,1722.0,1734.0,1704.0,1720.5,0.0,0.0,666600.0,1148072000.0,1.0,1722.0,1734.0,1704.0,1720.5,666600.0,1724.5
2025-10-15,76160.0,1740.5,1740.5,1720.0,1726.5,0.0,0.0,287100.0,495689900.0,1.0,1740.5,1740.5,1720.0,1726.5,287100.0,1720.5
2025-10-16,76160.0,1726.0,1732.0,1713.0,1722.5,0.0,0.0,312100.0,536908750.0,1.0,1726.0,1732.0,1713.0,1722.5,312100.0,1726.5
2025-10-17,76160.0,1715.0,1725.0,1712.5,1720.5,0.0,0.0,278200.0,478325150.0,1.0,1715.0,1725.0,1712.5,1720.5,278200.0,1722.5
2025-10-20,76160.0,1725.0,1735.5,1717.0,1725.0,0.0,0.0,329000.0,567305200.0,1.0,1725.0,1735.5,1717.0,1725.0,329000.0,1720.5
2025-10-21,76160.0,1725.5,1744.5,1721.0,1740.0,0.0,0.0,324600.0,563773050.0,1.0,1725.5,1744.5,1721.0,1740.0,324600.0,1725.0
2025-10-22,76160.0,1750.0,1759.0,1743.5,1755.5,0.0,0.0,329000.0,577220350.0,1.0,1750.0,1759.0,1743.5,1755.5,329000.0,1740.0
2025-10-23,76160.0,1767.0,1767.5,1736.0,1736.0,0.0,0.0,391200.0,682388700.0,1.0,1767.0,1767.5,1736.0,1736.0,391200.0,1755.5
2025-10-24,76160.0,1736.0,1739.5,1720.0,1723.0,0.0,0.0,332700.0,574524350.0,1.0,1736.0,1739.5,1720.0,1723.0,332700.0,1736.0
2025-10-27,76160.0,1722.0,1735.0,1716.5,1731.0,0.0,0.0,290000.0,501046550.0,1.0,1722.0,1735.0,1716.5,1731.0,290000.0,1723.0
2025-10-28,76160.0,1725.5,1725.5,1695.0,1695.5,0.0,0.0,690900.0,1178072800.0,1.0,1725.5,1725.5,1695.0,1695.5,690900.0,1731.0
2025-10-29,76160.0,1682.0,1686.5,1661.0,1664.0,0.0,0.0,635700.0,1063540550.0,1.0,1682.0,1686.5,1661.0,1664.0,635700.0,1695.5
2025-10-30,76160.0,1660.0,1678.5,1656.5,1670.0,0.0,0.0,544200.0,908937850.0,1.0,1660.0,1678.5,1656.5,1670.0,544200.0,1664.0
2025-10-31,76160.0,1675.0,1690.0,1670.5,1671.5,0.0,0.0,362900.0,608236500.0,1.0,1675.0,1690.0,1670.5,1671.5,362900.0,1670.0
2025-11-04,76160.0,1671.5,1672.5,1656.5,1668.0,0.0,0.0,503800.0,838266300.0,1.0,1671.5,1672.5,1656.5,1668.0,503800.0,1671.5
2025-11-05,76160.0,1674.0,1683.0,1668.5,1668.5,0.0,0.0,463400.0,775798600.0,1.0,1674.0,1683.0,1668.5,1668.5,463400.0,1668.0
2025-11-06,76160.0,1685.0,1685.0,1660.0,1660.0,0.0,0.0,446600.0,744759500.0,1.0,1685.0,1685.0,1660.0,1660.0,446600.0,1668.5
2025-11-07,76160.0,1658.0,1675.0,1656.0,1675.0,0.0,0.0,404400.0,674420400.0,1.0,1658.0,1675.0,1656.0,1675.0,404400.0,1660.0
2025-11-10,76160.0,1737.5,1738.0,1706.0,1720.0,0.0,0.0,982500.0,1697761950.0,1.0,1737.5,1738.0,1706.0,1720.0,982500.0,1675.0
2025-11-11,76160.0,1722.0,1732.0,1711.5,1712.0,0.0,0.0,447800.0,769683650.0,1.0,1722.0,1732.0,1711.5,1712.0,447800.0,1720.0
2025-11-12,76160.0,1720.0,1750.0,1719.0,1733.5,0.0,0.0,377600.0,655031600.0,1.0,1720.0,1750.0,1719.0,1733.5,377600.0,1712.0
2025-11-13,76160.0,1735.0,1754.0,1735.0,1747.0,0.0,0.0,314100.0,548382700.0,1.0,1735.0,1754.0,1735.0,1747.0,314100.0,1733.5
2025-11-14,76160.0,1746.0,1760.0,1734.5,1738.0,0.0,0.0,362600.0,631873450.0,1.0,1746.0,1760.0,1734.5,1738.0,362600.0,1747.0
2025-11-17,76160.0,1735.0,1735.0,1712.0,1719.0,0.0,0.0,336300.0,579271700.0,1.0,1735.0,1735.0,1712.0,1719.0,336300.0,1738.0
2025-11-18,76160.0,1718.0,1728.0,1698.0,1703.0,0.0,0.0,432100.0,737421150.0,1.0,1718.0,1728.0,1698.0,1703.0,432100.0,1719.0
2025-11-19,76160.0,1705.0,1718.5,1703.5,1713.5,0.0,0.0,322400.0,552100450.0,1.0,1705.0,1718.5,1703.5,1713.5,322400.0,1703.0
2025-11-20,76160.0,1719.5,1720.5,1702.0,1702.0,0.0,0.0,319600.0,546347850.0,1.0,1719.5,1720.5,1702.0,1702.0,319600.0,1713.5
2025-11-21,76160.0,1710.0,1730.5,1710.0,1728.5,0.0,0.0,432100.0,744918200.0,1.0,1710.0,1730.5,1710.0,1728.5,432100.0,1702.0
2025-11-25,76160.0,1740.0,1741.5,1730.5,1733.5,0.0,0.0,302400.0,524941600.0,1.0,1740.0,1741.5,1730.5,1733.5,302400.0,1728.5
2025-11-26,76160.0,1745.5,1760.0,1740.0,1749.0,0.0,0.0,315500.0,552185650.0,1.0,1745.5,1760.0,1740.0,1749.0,315500.0,1733.5
2025-11-27,76160.0,1755.0,1760.0,1747.0,1749.0,0.0,0.0,286500.0,501898900.0,1.0,1755.0,1760.0,1747.0,1749.0,286500.0,1749.0
2025-11-28,76160.0,1750.0,1767.5,1750.0,1760.0,0.0,0.0,288100.0,506987200.0,1.0,1750.0,1767.5,1750.0,1760.0,288100.0,1749.0
2025-12-01,76160.0,1760.0,1780.0,1750.5,1756.5,0.0,0.0,350000.0,616454950.0,1.0,1760.0,1780.0,1750.5,1756.5,350000.0,1760.0
2025-12-02,76160.0,1750.5,1761.5,1747.5,1756.5,0.0,0.0,272600.0,478731600.0,1.0,1750.5,1761.5,1747.5,1756.5,272600.0,1756.5
