Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,79620.0,838.0,838.0,834.0,834.0,0.0,0.0,28300.0,23631500.0,1.0,838.0,838.0,834.0,834.0,28300.0,
2025-08-28,79620.0,843.0,843.0,838.0,842.0,0.0,0.0,27000.0,22721700.0,1.0,843.0,843.0,838.0,842.0,27000.0,834.0
2025-08-29,79620.0,840.0,841.0,837.0,837.0,0.0,0.0,21300.0,17867700.0,1.0,840.0,841.0,837.0,837.0,21300.0,842.0
2025-09-01,79620.0,837.0,841.0,837.0,837.0,0.0,0.0,15800.0,13242600.0,1.0,837.0,841.0,837.0,837.0,15800.0,837.0
2025-09-02,79620.0,840.0,841.0,838.0,840.0,0.0,0.0,15200.0,12762300.0,1.0,840.0,841.0,838.0,840.0,15200.0,837.0
2025-09-03,79620.0,838.0,845.0,838.0,845.0,0.0,0.0,24700.0,20814900.0,1.0,838.0,845.0,838.0,845.0,24700.0,840.0
2025-09-04,79620.0,845.0,846.0,841.0,844.0,0.0,0.0,30900.0,26063700.0,1.0,845.0,846.0,841.0,844.0,30900.0,845.0
2025-09-05,79620.0,845.0,846.0,843.0,844.0,0.0,0.0,15400.0,13007900.0,1.0,845.0,846.0,843.0,844.0,15400.0,844.0
2025-09-08,79620.0,845.0,848.0,844.0,848.0,0.0,0.0,14100.0,11936900.0,1.0,845.0,848.0,844.0,848.0,14100.0,844.0
2025-09-09,79620.0,848.0,850.0,844.0,844.0,0.0,0.0,15500.0,13111100.0,1.0,848.0,850.0,844.0,844.0,15500.0,848.0
2025-09-10,79620.0,848.0,848.0,840.0,844.0,0.0,0.0,31000.0,26139600.0,1.0,848.0,848.0,840.0,844.0,31000.0,844.0
2025-09-11,79620.0,844.0,848.0,842.0,848.0,0.0,0.0,13400.0,11332500.0,1.0,844.0,848.0,842.0,848.0,13400.0,844.0
2025-09-12,79620.0,849.0,853.0,848.0,852.0,0.0,0.0,41100.0,34926900.0,1.0,849.0,853.0,848.0,852.0,41100.0,848.0
2025-09-16,79620.0,853.0,856.0,850.0,851.0,0.0,0.0,38700.0,33006900.0,1.0,853.0,856.0,850.0,851.0,38700.0,852.0
2025-09-17,79620.0,850.0,850.0,843.0,845.0,0.0,0.0,20400.0,17277000.0,1.0,850.0,850.0,843.0,845.0,20400.0,851.0
2025-09-18,79620.0,845.0,850.0,844.0,850.0,0.0,0.0,19700.0,16701100.0,1.0,845.0,850.0,844.0,850.0,19700.0,845.0
2025-09-19,79620.0,850.0,850.0,840.0,850.0,0.0,0.0,19700.0,16711400.0,1.0,850.0,850.0,840.0,850.0,19700.0,850.0
2025-09-22,79620.0,851.0,856.0,851.0,852.0,0.0,0.0,32000.0,27308500.0,1.0,851.0,856.0,851.0,852.0,32000.0,850.0
2025-09-24,79620.0,854.0,856.0,851.0,856.0,0.0,0.0,19200.0,16414300.0,1.0,854.0,856.0,851.0,856.0,19200.0,852.0
2025-09-25,79620.0,856.0,857.0,852.0,853.0,0.0,0.0,35800.0,30577500.0,1.0,856.0,857.0,852.0,853.0,35800.0,856.0
2025-09-26,79620.0,853.0,857.0,852.0,857.0,0.0,0.0,30000.0,25670900.0,1.0,853.0,857.0,852.0,857.0,30000.0,853.0
2025-09-29,79620.0,854.0,854.0,850.0,850.0,0.0,0.0,26200.0,22312900.0,1.0,854.0,854.0,850.0,850.0,26200.0,857.0
2025-09-30,79620.0,850.0,851.0,843.0,843.0,0.0,0.0,30400.0,25728100.0,1.0,850.0,851.0,843.0,843.0,30400.0,850.0
2025-10-01,79620.0,844.0,844.0,835.0,835.0,0.0,0.0,34000.0,28537600.0,1.0,844.0,844.0,835.0,835.0,34000.0,843.0
2025-10-02,79620.0,838.0,840.0,832.0,832.0,0.0,0.0,29400.0,24563700.0,1.0,838.0,840.0,832.0,832.0,29400.0,835.0
2025-10-03,79620.0,835.0,841.0,835.0,841.0,0.0,0.0,17700.0,14838300.0,1.0,835.0,841.0,835.0,841.0,17700.0,832.0
2025-10-06,79620.0,844.0,844.0,840.0,843.0,0.0,0.0,28200.0,23760800.0,1.0,844.0,844.0,840.0,843.0,28200.0,841.0
2025-10-07,79620.0,840.0,842.0,837.0,838.0,0.0,0.0,18800.0,15774500.0,1.0,840.0,842.0,837.0,838.0,18800.0,843.0
2025-10-08,79620.0,838.0,843.0,837.0,840.0,0.0,0.0,18300.0,15369300.0,1.0,838.0,843.0,837.0,840.0,18300.0,838.0
2025-10-09,79620.0,841.0,841.0,837.0,840.0,0.0,0.0,17800.0,14938400.0,1.0,841.0,841.0,837.0,840.0,17800.0,840.0
2025-10-10,79620.0,838.0,839.0,836.0,839.0,0.0,0.0,16400.0,13740100.0,1.0,838.0,839.0,836.0,839.0,16400.0,840.0
2025-10-14,79620.0,839.0,840.0,833.0,833.0,0.0,0.0,41500.0,34707100.0,1.0,839.0,840.0,833.0,833.0,41500.0,839.0
2025-10-15,79620.0,835.0,840.0,835.0,840.0,0.0,0.0,13100.0,10977000.0,1.0,835.0,840.0,835.0,840.0,13100.0,833.0
2025-10-16,79620.0,840.0,842.0,835.0,835.0,0.0,0.0,23600.0,19755600.0,1.0,840.0,842.0,835.0,835.0,23600.0,840.0
