Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-08-27,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-08-28,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-08-29,16540.0,2462.0,2462.0,2462.0,2462.0,0.0,0.0,360.0,886320.0,1.0,2462.0,2462.0,2462.0,2462.0,360.0,
2025-09-01,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2462.0
2025-09-02,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-09-03,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-09-04,16540.0,2452.0,2456.5,2452.0,2456.5,0.0,0.0,6290.0,15427125.0,1.0,2452.0,2456.5,2452.0,2456.5,6290.0,
2025-09-05,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2456.5
2025-09-08,16540.0,2520.0,2520.0,2513.5,2513.5,0.0,0.0,5180.0,13035625.0,1.0,2520.0,2520.0,2513.5,2513.5,5180.0,
2025-09-09,16540.0,2500.0,2503.0,2499.0,2503.0,0.0,0.0,80.0,199970.0,1.0,2500.0,2503.0,2499.0,2503.0,80.0,2513.5
2025-09-10,16540.0,2514.5,2514.5,2514.5,2514.5,0.0,0.0,50.0,125725.0,1.0,2514.5,2514.5,2514.5,2514.5,50.0,2503.0
2025-09-11,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2514.5
2025-09-12,16540.0,2530.5,2530.5,2530.5,2530.5,0.0,0.0,50.0,126525.0,1.0,2530.5,2530.5,2530.5,2530.5,50.0,
2025-09-16,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2530.5
2025-09-17,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-09-18,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-09-19,16540.0,2550.0,2599.0,2550.0,2599.0,0.0,0.0,110.0,280990.0,1.0,2550.0,2599.0,2550.0,2599.0,110.0,
2025-09-22,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2599.0
2025-09-24,16540.0,2537.0,2537.0,2531.0,2531.0,0.0,0.0,60.0,151920.0,1.0,2537.0,2537.0,2531.0,2531.0,60.0,
2025-09-25,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2531.0
2025-09-26,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-09-29,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-09-30,16540.0,2531.0,2531.0,2531.0,2531.0,0.0,0.0,40.0,101240.0,1.0,2531.0,2531.0,2531.0,2531.0,40.0,
2025-10-01,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2531.0
2025-10-02,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-10-03,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-10-06,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-10-07,16540.0,2636.5,2636.5,2633.5,2633.5,0.0,0.0,30.0,79050.0,1.0,2636.5,2636.5,2633.5,2633.5,30.0,
2025-10-08,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2633.5
2025-10-09,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-10-10,16540.0,,,,,0.0,0.0,,,1.0,,,,,,
2025-10-14,16540.0,2551.0,2551.0,2548.5,2548.5,0.0,0.0,230.0,586180.0,1.0,2551.0,2551.0,2548.5,2548.5,230.0,
2025-10-15,16540.0,,,,,0.0,0.0,,,1.0,,,,,,2548.5
