code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,ret_oc,ret_max,ret_low
1407,2025-07-18,2025-07-22,WEAK,WEAK,-5.07,7,3.57,6.09,-0.21
1407,2025-10-06,2025-10-07,NORMAL,NORMAL,-10.64,4,2.93,3.44,-2.14
1407,2025-10-15,2025-10-16,NORMAL,NORMAL,-5.03,3,5.96,7.13,0.0
1407,2025-10-17,2025-10-20,WEAK,NORMAL,-5.01,3,0.88,0.88,-1.06
1407,2025-10-22,2025-10-23,NORMAL,NORMAL,-4.96,4,-0.06,1.36,-0.74
1407,2025-11-20,2025-11-21,NORMAL,NORMAL,-4.17,6,5.81,5.81,-1.15
1414,2025-05-12,2025-05-13,NORMAL,NORMAL,-5.69,3,-1.03,0.0,-2.1
1414,2025-12-29,2025-12-30,NORMAL,WEAK,-74.6,10,-0.64,0.23,-1.2
1414,2026-02-12,2026-02-13,NORMAL,WEAK,-8.95,4,-0.64,0.57,-2.0
1417,2025-08-13,2025-08-14,NORMAL,NORMAL,-7.03,3,0.29,0.68,-1.97
1418,2025-04-16,2025-04-17,NORMAL,NORMAL,-6.11,3,4.11,4.11,-0.55
1418,2025-04-25,2025-04-28,NORMAL,NORMAL,-8.64,4,1.35,2.16,-0.54
1418,2026-01-15,2026-01-16,NORMAL,NORMAL,-8.9,4,-0.79,2.83,-2.2
1419,2025-05-29,2025-05-30,NORMAL,NORMAL,-7.1,7,-2.72,0.27,-2.86
1419,2025-05-30,2025-06-02,NORMAL,WEAK,-4.29,8,-0.28,0.7,-0.85
1419,2026-01-08,2026-01-09,NORMAL,NORMAL,-5.28,4,-1.57,0.43,-1.57
141A,2025-08-14,2025-08-15,NORMAL,NORMAL,-11.33,6,7.22,7.22,-1.05
141A,2025-10-02,2025-10-03,NORMAL,NORMAL,-4.28,5,1.55,2.23,0.0
1429,2025-11-10,2025-11-11,NORMAL,NORMAL,-8.9,5,-0.7,0.12,-1.97
1429,2026-02-16,2026-02-17,NORMAL,NORMAL,-5.23,6,0.47,1.18,-1.18
142A,2025-04-21,2025-04-22,NORMAL,NORMAL,-4.48,6,0.6,2.22,-0.81
142A,2025-05-23,2025-05-26,NORMAL,NORMAL,-8.76,3,3.72,10.54,-3.26
142A,2025-11-14,2025-11-17,NORMAL,NORMAL,-5.31,7,1.11,2.22,-1.67
142A,2026-02-13,2026-02-16,WEAK,NORMAL,-17.83,7,1.44,5.05,-0.72
142A,2026-02-16,2026-02-17,NORMAL,NORMAL,-4.58,9,0.0,0.88,-1.24
1431,2025-11-13,2025-11-14,NORMAL,NORMAL,-5.22,5,-0.85,0.28,-0.99
1431,2025-12-29,2025-12-30,NORMAL,WEAK,-6.29,6,0.0,0.61,-0.15
1433,2026-01-29,2026-01-30,NORMAL,NORMAL,-8.67,6,-1.34,1.26,-2.1
1433,2026-03-13,2026-03-16,WEAK,NORMAL,-7.96,6,-0.52,1.38,-1.9
1434,2025-10-06,2025-10-07,NORMAL,NORMAL,-5.68,5,-2.18,0.17,-3.58
1435,2025-11-14,2025-11-17,NORMAL,NORMAL,-4.15,3,-1.08,0.0,-2.69
1435,2025-12-29,2025-12-30,NORMAL,WEAK,-4.84,6,-0.56,0.56,-1.13
1443,2026-03-26,2026-03-27,WEAK,NORMAL,-4.52,3,-0.68,0.34,-2.39
1446,2026-03-27,2026-03-30,NORMAL,UNKNOWN,-4.15,8,-0.38,0.76,-1.71
1456,2025-10-06,2025-10-07,NORMAL,NORMAL,-4.7,6,0.86,1.02,-0.21
1458,2025-11-21,2025-11-25,NORMAL,NORMAL,-4.58,4,-2.44,0.12,-2.89
1458,2026-03-10,2026-03-11,WEAK,NORMAL,-5.48,3,-0.38,2.38,-0.73
1459,2025-10-06,2025-10-07,NORMAL,NORMAL,-9.73,9,1.89,2.27,-0.76
1459,2025-10-15,2025-10-16,NORMAL,NORMAL,-4.26,4,-0.75,0.75,-1.13
