type,score_min,score_max,ratio_min,ratio_max,rise_lo,rise_hi,rb_min,gap_max,tp,sl,cond,top_n,ls_min,vd_req,cd_min,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
AB(複合),0.0,9.6,0.0,3.0,-9.4,10.0,0.0,10.0,4.8,-4.8,STRONG,全件,0.0,0,1,5.0,5.0,10194,64.8,0.608,6196.4,★
AB(複合),0.0,9.0,0.0,20.7,-6.3,5.7,5.0,4.3,10.0,-3.1,STRONG,全件,0.08,0,0,5.0,5.0,813,63.6,0.758,616.5,★
AB(複合),0.0,9.8,0.0,38.4,-5.8,0.5,0.0,8.9,4.3,-7.0,STRONG,全件,0.04,0,3,5.0,4.982,2001,64.5,0.537,1074.4,★
AB(複合),0.2,7.6,0.4,5.6,-3.6,10.0,1.3,1.1,1.0,-4.7,STRONG,全件,0.0,0,1,5.0,4.975,2482,72.6,0.342,849.2,★
AB(複合),0.0,9.9,0.0,3.0,-14.4,7.8,2.5,4.2,4.6,-5.8,STRONG,全件,0.07,0,0,5.0,4.96,3880,62.5,0.596,2314.0,★
AB(複合),0.1,6.0,0.3,31.7,-12.6,10.0,3.2,6.6,6.2,-6.6,STRONG,全件,0.04,0,2,5.0,4.914,1128,65.0,0.643,725.4,★
AB(複合),2.0,10.0,1.4,27.2,-6.6,8.1,0.0,1.6,9.3,-6.3,STRONG,全件,0.0,0,2,5.0,4.909,928,64.0,0.585,543.1,★
AB(複合),0.0,7.1,0.3,12.0,-5.9,3.1,4.6,4.5,8.4,-7.0,STRONG,全件,0.0,0,0,5.0,4.908,1559,63.1,0.648,1010.6,★
AB(複合),0.0,7.6,0.0,3.0,-14.2,5.3,2.2,4.9,7.9,-3.8,STRONG,全件,0.0,0,2,5.0,4.904,1957,64.2,0.625,1223.5,★
AB(複合),0.2,10.0,0.2,3.0,-11.7,3.1,4.9,3.4,8.1,-6.1,STRONG,全件,0.0,0,2,5.0,4.845,740,64.2,0.686,507.8,★
AB(複合),0.0,4.0,0.0,3.0,-7.1,10.0,0.8,4.5,5.2,-7.0,STRONG,全件,0.0,0,1,5.0,4.822,5448,63.9,0.551,3002.5,★
AB(複合),0.0,7.7,0.3,3.0,-7.7,10.0,3.6,9.3,5.6,-5.9,STRONG,全件,0.0,0,0,5.0,4.814,2981,63.3,0.614,1831.3,★
AB(複合),0.0,6.2,0.0,39.0,-7.7,9.1,2.3,5.8,7.6,-3.9,STRONG,全件,0.0,0,0,5.0,4.813,5167,62.7,0.622,3215.6,★
AB(複合),0.3,4.0,0.7,50.0,-15.0,8.4,0.0,4.0,7.8,-6.7,STRONG,全件,0.28,0,1,5.0,4.813,2476,64.1,0.593,1467.2,★
AB(複合),0.0,6.6,0.4,45.1,-11.5,8.5,3.5,7.6,6.4,-5.8,STRONG,全件,0.02,0,0,5.0,4.81,2714,63.5,0.646,1752.5,★
AB(複合),1.4,5.9,0.3,3.8,-9.3,10.0,2.4,4.6,3.4,-6.0,STRONG,全件,0.15,0,2,5.0,4.805,663,62.3,0.554,367.4,★
AB(複合),0.1,8.7,0.0,13.7,-8.0,10.0,3.8,2.6,7.8,-6.9,STRONG,全件,0.18,0,0,5.0,4.786,1706,63.0,0.651,1110.0,★
AB(複合),0.0,7.2,0.0,3.0,-14.4,2.1,4.4,4.7,4.8,-6.9,STRONG,全件,0.16,0,2,5.0,4.78,498,65.1,0.631,314.4,★
AB(複合),0.8,9.9,0.0,16.9,-5.5,7.8,4.2,6.3,6.1,-7.0,STRONG,全件,0.19,0,0,5.0,4.737,883,63.4,0.648,572.1,★
AB(複合),0.2,10.0,0.3,7.4,-11.9,2.9,2.2,8.4,5.9,-6.4,STRONG,全件,0.19,0,2,5.0,4.735,1186,64.1,0.617,731.5,★
AB(複合),1.7,6.0,0.6,15.9,-15.0,2.4,1.6,1.7,7.3,-7.0,STRONG,全件,0.0,0,2,5.0,4.721,989,63.7,0.582,575.8,★
A(順張り),1.2,9.1,0.0,14.3,-1.5,2.7,4.2,7.8,3.9,-7.0,STRONG,全件,0.04,0,1,5.0,4.718,305,66.6,0.531,161.8,★
AB(複合),0.0,7.9,0.0,50.0,-10.0,8.5,2.6,1.8,10.0,-2.7,STRONG,全件,0.0,0,0,5.0,4.713,4693,61.8,0.629,2950.2,★
AB(複合),1.6,7.1,0.3,47.1,-2.8,6.6,3.3,3.3,3.9,-5.5,STRONG,全件,0.07,0,0,5.0,4.666,951,64.1,0.556,529.0,★
AB(複合),0.7,10.0,0.0,48.0,-12.2,7.1,2.4,6.9,4.6,-3.5,STRONG,全件,0.0,0,2,5.0,4.652,2025,63.8,0.565,1144.6,★
AB(複合),1.1,8.6,0.6,17.0,-9.7,1.3,1.9,1.8,6.9,-7.0,STRONG,全件,0.02,0,0,5.0,4.638,3355,63.3,0.612,2052.4,★
AB(複合),0.0,9.3,0.5,42.7,-3.1,10.0,3.3,10.0,10.0,-5.0,STRONG,全件,0.14,0,0,5.0,4.615,1870,63.0,0.619,1158.1,★
AB(複合),1.3,10.0,0.0,29.7,-5.5,3.1,2.0,-1.4,3.1,-5.6,STRONG,全件,0.0,0,0,5.0,4.608,203,62.1,0.687,139.5,★
AB(複合),1.1,10.0,3.5,48.9,-13.2,9.0,5.1,3.5,9.1,-5.5,STRONG,全件,0.18,0,0,5.0,4.587,98,62.2,0.711,69.7,★
AB(複合),0.0,9.3,1.1,42.2,-5.9,10.0,3.2,4.6,4.1,-4.6,STRONG,全件,0.05,0,2,5.0,4.586,794,61.8,0.533,423.1,★
AB(複合),0.4,9.0,0.0,39.3,-8.1,5.5,2.5,1.6,3.5,-5.4,STRONG,全件,0.04,0,1,5.0,4.582,1964,62.7,0.538,1055.7,★
AB(複合),3.2,7.4,0.9,45.2,-9.9,3.5,1.9,0.9,7.5,-6.7,STRONG,全件,0.11,0,1,5.0,4.572,670,63.9,0.703,471.0,★
AB(複合),0.0,7.5,0.0,12.1,-12.2,10.0,2.3,7.7,4.0,-4.5,STRONG,全件,0.19,0,3,5.0,4.551,698,61.0,0.552,385.6,★
AB(複合),0.6,7.6,0.0,20.0,-15.0,1.2,4.2,10.0,5.9,-6.1,STRONG,全件,0.0,0,2,5.0,4.543,940,63.3,0.656,616.2,★
AB(複合),1.3,6.3,0.0,15.1,-9.2,6.5,6.4,1.8,9.3,-7.0,STRONG,全件,0.24,0,0,5.0,4.543,157,64.3,0.757,118.8,★
B(逆張り),0.3,10.0,0.0,8.1,-12.5,-0.4,2.9,10.0,3.6,-5.0,STRONG,全件,0.0,0,2,5.0,4.539,1951,64.4,0.557,1087.1,★
