type,score_min,score_max,ratio_min,ratio_max,rise_lo,rise_hi,rb_min,gap_max,tp,sl,cond,top_n,ls_min,vd_req,cd_min,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
AB(複合),1.4,10.0,0.0,50.0,-12.7,6.1,2.4,8.6,8.7,-4.0,STRONG,全件,0.1,0,0,5.0,3.719,2955,59.6,0.535,1580.6,★
AB(複合),0.0,8.8,0.6,10.2,-15.0,7.6,3.0,3.5,9.8,-7.0,STRONG,全件,0.08,0,1,5.0,3.713,2494,60.6,0.523,1304.4,★
AB(複合),0.0,9.7,0.3,3.0,-7.5,3.0,4.1,6.3,6.4,-4.4,STRONG,全件,0.02,0,1,5.0,3.713,1007,61.3,0.506,509.6,★
AB(複合),0.0,10.0,0.0,12.0,-15.0,10.0,6.1,4.1,3.2,-6.5,STRONG,全件,0.02,0,2,5.0,3.706,335,62.1,0.52,174.3,★
AB(複合),1.8,7.1,0.0,6.5,-9.8,4.0,4.2,8.8,6.7,-5.4,STRONG,全件,0.0,0,0,5.0,3.701,1064,61.7,0.539,573.1,★
A(順張り),3.6,9.0,0.8,35.8,-1.2,8.2,3.0,7.6,9.6,-7.0,STRONG,全件,0.0,0,2,5.0,3.666,180,61.7,0.446,80.2,★
AB(複合),0.0,9.9,0.5,32.8,-15.0,5.9,3.3,2.8,10.0,-6.9,STRONG,全件,0.09,0,3,5.0,3.665,600,59.8,0.472,283.2,★
AB(複合),0.1,7.5,0.0,44.2,-13.7,7.3,5.6,3.2,10.0,-2.8,STRONG,全件,0.05,0,1,5.0,3.639,650,58.8,0.56,364.1,★
AB(複合),0.0,9.4,0.4,20.1,-5.9,6.8,5.6,7.8,3.0,-7.0,STRONG,全件,0.22,0,3,5.0,3.613,187,59.9,0.441,82.5,★
AB(複合),0.9,10.0,1.6,38.7,-15.0,6.1,3.6,4.7,4.2,-7.0,STRONG,全件,0.14,0,0,5.0,3.602,937,60.0,0.48,450.1,★
A(順張り),0.8,8.7,2.1,14.8,2.1,8.2,2.8,1.1,8.0,-3.1,STRONG,全件,0.07,0,0,5.0,3.6,227,55.9,0.715,162.3,★
AB(複合),1.9,10.0,0.0,50.0,-14.3,6.8,5.1,2.6,9.6,-7.0,STRONG,全件,0.0,0,1,5.0,3.596,563,59.7,0.587,330.6,★
AB(複合),0.0,8.4,0.0,42.7,-13.8,10.0,7.3,4.7,4.9,-7.0,STRONG,全件,0.01,0,0,5.0,3.524,361,59.3,0.561,202.6,★
AB(複合),0.0,8.9,0.0,50.0,-9.6,10.0,6.3,9.8,10.0,-4.4,STRONG,全件,0.25,0,2,5.0,3.497,172,60.5,0.55,94.6,★
AB(複合),2.3,7.7,0.0,3.7,-7.1,10.0,3.3,4.7,9.7,-4.7,STRONG,全件,0.04,0,1,5.0,3.488,697,61.4,0.472,329.0,★
AB(複合),0.3,6.6,0.2,41.9,-8.4,9.7,4.9,10.0,9.3,-4.5,STRONG,全件,0.12,0,1,5.0,3.451,798,61.7,0.471,376.1,★
AB(複合),0.4,9.1,1.1,17.5,-12.9,5.8,4.4,5.7,4.6,-6.7,STRONG,全件,0.0,0,1,5.0,3.433,1179,59.1,0.479,564.3,★
AB(複合),0.0,7.4,0.0,20.2,-13.1,0.8,5.6,9.0,9.8,-3.8,STRONG,全件,0.04,0,2,5.0,3.428,522,61.3,0.567,295.8,★
AB(複合),1.1,8.5,1.5,6.1,-5.4,7.6,2.8,7.9,4.2,-4.1,STRONG,全件,0.21,0,0,5.0,3.426,1320,57.8,0.455,600.4,★
AB(複合),4.4,7.3,0.0,50.0,-10.3,9.3,3.1,7.9,5.2,-5.9,STRONG,全件,0.07,0,0,5.0,3.404,528,62.7,0.49,258.8,★
AB(複合),2.6,9.0,1.2,22.6,-11.3,6.6,5.1,7.4,6.4,-3.1,STRONG,全件,0.0,0,1,5.0,3.402,529,58.6,0.534,282.3,★
AB(複合),0.8,9.7,0.0,19.0,-11.9,10.0,3.0,6.7,2.0,-5.3,STRONG,全件,0.0,0,0,5.0,3.316,5321,63.0,0.359,1911.0,★
AB(複合),0.0,7.6,0.4,47.5,-9.4,10.0,1.3,1.8,1.0,-3.7,STRONG,全件,0.0,0,1,5.0,3.314,3949,70.0,0.25,987.1,★
AB(複合),0.0,6.8,1.0,50.0,-15.0,9.0,3.3,10.0,2.9,-5.8,STRONG,全件,0.16,0,1,5.0,3.292,917,60.3,0.39,357.4,★
AB(複合),0.0,7.9,1.5,15.6,-4.7,1.2,3.6,5.4,9.0,-7.0,STRONG,全件,0.06,0,1,5.0,3.289,768,58.3,0.393,301.6,★
AB(複合),0.9,10.0,2.5,38.7,-15.0,5.3,3.6,4.3,4.2,-7.0,STRONG,全件,0.0,0,1,5.0,3.221,593,58.3,0.447,264.8,★
B(逆張り),0.0,6.6,0.0,3.0,-13.1,-1.2,4.4,4.4,4.4,-7.0,STRONG,全件,0.0,0,1,5.0,3.211,805,57.3,0.468,376.7,★
B(逆張り),0.6,7.1,0.0,14.4,-7.1,-1.8,4.2,8.5,10.0,-6.1,STRONG,全件,0.0,0,1,5.0,3.195,625,57.0,0.472,295.0,★
B(逆張り),1.5,8.4,0.3,40.7,-7.7,-0.1,4.5,7.4,7.4,-4.4,STRONG,全件,0.0,0,0,5.0,3.191,920,58.7,0.455,418.1,★
AB(複合),1.5,10.0,1.7,46.0,-14.8,2.3,4.4,6.2,5.0,-4.8,STRONG,全件,0.0,0,0,5.0,3.171,974,59.9,0.447,435.5,★
AB(複合),0.0,6.8,1.0,50.0,-15.0,9.0,3.3,10.0,2.9,-5.8,STRONG,全件,0.12,0,1,5.0,3.12,1047,60.2,0.37,387.4,★
AB(複合),0.0,6.9,0.0,20.5,-8.1,6.1,6.3,5.4,8.4,-3.9,STRONG,全件,0.27,0,1,5.0,3.112,172,59.3,0.476,81.9,★
AB(複合),1.0,6.4,0.0,40.8,-11.0,5.4,6.5,10.0,10.0,-5.9,STRONG,全件,0.0,0,0,5.0,3.104,492,58.9,0.513,252.6,★
AB(複合),2.2,6.8,1.4,41.6,-11.5,1.0,3.0,6.5,7.9,-4.0,STRONG,全件,0.03,0,1,5.0,3.039,666,59.8,0.437,291.2,★
AB(複合),0.0,8.6,0.0,13.8,-10.3,10.0,0.1,-4.3,7.8,-5.9,STRONG,全件,0.12,0,0,5.0,3.02,150,54.0,0.666,100.0,★
AB(複合),5.5,7.2,0.1,3.2,-6.2,4.0,2.2,10.0,6.9,-4.8,STRONG,全件,0.19,0,1,5.0,2.967,128,60.2,0.487,62.4,★
AB(複合),0.3,9.2,0.0,3.0,-13.6,1.6,6.1,3.3,8.1,-5.6,STRONG,全件,0.0,0,1,5.0,2.945,355,57.5,0.466,165.4,★
AB(複合),2.2,10.0,0.4,11.9,-10.7,5.2,4.1,3.5,9.5,-7.0,STRONG,全件,0.14,0,1,5.0,2.917,467,59.7,0.432,201.7,★
AB(複合),3.5,7.3,2.1,39.7,-6.4,10.0,4.9,10.0,5.9,-4.2,STRONG,全件,0.0,0,1,5.0,2.896,291,59.1,0.395,114.9,★
AB(複合),4.5,6.3,2.2,45.0,-8.1,6.7,4.8,10.0,6.9,-6.2,STRONG,全件,0.14,0,0,5.0,2.75,120,62.5,0.42,50.4,★
AB(複合),0.3,8.1,0.0,13.7,-12.8,7.2,2.4,8.0,5.6,-7.0,STRONG,全件,0.11,1,0,5.0,2.694,340,54.7,0.327,111.3,★
AB(複合),0.0,7.9,1.1,20.4,-5.0,10.0,0.0,-4.5,1.4,-6.5,STRONG,全件,0.19,0,0,5.0,2.659,102,74.5,0.345,35.2,★
AB(複合),0.0,8.4,1.7,21.5,-9.7,0.1,7.3,7.0,8.5,-6.6,STRONG,全件,0.0,0,0,5.0,2.655,257,54.9,0.436,111.9,★
AB(複合),0.0,8.5,1.1,29.6,-6.4,5.9,3.8,3.2,10.0,-6.7,STRONG,全件,0.29,0,4,5.0,2.201,150,54.0,0.268,40.1,★
AB(複合),3.6,5.8,1.2,17.3,-9.2,1.1,3.4,3.1,6.7,-5.7,STRONG,全件,0.03,0,1,5.0,2.128,295,59.7,0.289,85.4,★
AB(複合),0.3,8.6,2.1,4.7,-11.5,8.3,8.0,8.8,9.3,-7.0,STRONG,全件,0.06,0,1,5.0,2.045,157,54.8,0.364,57.1,★
AB(複合),1.2,10.0,0.1,12.4,-11.5,9.7,7.4,-0.0,6.8,-7.0,STRONG,全件,0.22,0,0,5.0,1.8,36,69.4,1.196,43.1,★
AB(複合),0.0,7.0,1.5,46.2,-7.2,6.8,4.6,4.8,9.5,-3.2,STRONG,全件,0.28,0,2,5.0,1.734,190,55.3,0.221,42.0,★
AB(複合),0.5,9.7,0.5,33.4,-5.2,10.0,0.6,6.0,7.9,-5.9,STRONG,全件,0.0,1,1,5.0,1.635,368,55.7,0.192,70.6,★
A(順張り),1.2,6.1,0.1,45.7,2.5,9.8,3.2,2.6,8.7,-4.0,STRONG,全件,0.39,0,0,5.0,1.6,32,62.5,1.066,34.1,★
AB(複合),0.0,10.0,1.6,3.7,-13.5,4.3,3.0,3.3,3.3,-4.8,STRONG,全件,0.14,0,3,5.0,1.447,201,51.2,0.177,35.5,★
AB(複合),1.1,7.3,0.0,22.5,-12.0,2.2,6.1,9.9,8.7,-5.0,STRONG,全件,0.0,0,3,5.0,0.51,207,51.2,0.085,17.6,
AB(複合),0.0,9.5,0.0,34.0,-5.3,10.0,7.9,1.0,8.9,-4.5,NORMAL+STRONG,全件,0.15,0,0,5.0,0.026,493,52.1,0.005,2.2,
