drop_lo,drop_hi,rb_min,gap_max,condition,exit,n,wr,avg,sharpe,max_dd,cum
-5.0,-4.0,3,2.0,STRONG,TP+5%/SL-5%,364,60.4,0.599,4.39,-21.0,218.0
-7.0,-3.0,6,2.0,STRONG,TP+5%/SL-3%,397,58.7,0.632,4.39,-17.5,250.8
-4.0,-3.0,3,999.0,STRONG,TP+5%/SL-5%,800,61.4,0.562,4.37,-22.9,449.5
-5.0,-4.0,6,999.0,STRONG,引け決済,119,58.8,0.696,4.37,-16.0,82.8
-7.0,-4.0,4,999.0,STRONG,TP+5%/SL-5%,565,61.1,0.667,4.37,-32.6,376.6
-7.0,-6.0,3,2.0,STRONG,TP+5%/SL-3%,110,61.8,0.661,4.36,-9.0,72.8
-6.0,-3.0,4,999.0,STRONG,TP+3%/SL-3%,1019,60.9,0.525,4.36,-26.0,535.2
-7.0,-3.0,6,2.0,STRONG,TP+5%/SL-5%,397,59.9,0.657,4.36,-22.5,260.7
-8.0,-4.0,3,2.0,STRONG,TP+5%/SL-5%,771,60.7,0.651,4.35,-27.0,501.6
-7.0,-6.0,4,2.0,STRONG,TP+3%/SL-3%,79,63.3,0.568,4.35,-5.8,44.8
-8.0,-5.0,3,2.0,STRONG,TP+5%/SL-5%,407,60.9,0.697,4.35,-19.4,283.6
-5.0,-4.0,2,2.0,STRONG,TP+5%/SL-5%,448,59.6,0.605,4.35,-16.8,271.0
-7.0,-4.0,3,2.0,STRONG,TP+2%/SL-2%,670,60.3,0.436,4.34,-17.5,291.9
-8.0,-5.0,4,2.0,STRONG,引け決済,304,60.2,0.721,4.34,-23.2,219.2
-6.0,-5.0,3,999.0,STRONG,引け決済,232,59.9,0.733,4.33,-18.7,170.0
-5.0,-4.0,4,999.0,STRONG,TP+5%/SL-3%,289,59.9,0.619,4.33,-27.8,178.8
-8.0,-3.0,5,2.0,STRONG,TP+3%/SL-3%,695,59.1,0.536,4.32,-13.6,372.2
-7.0,-4.0,4,999.0,STRONG,引け決済,565,61.2,0.683,4.32,-27.7,385.7
-6.0,-3.0,3,999.0,STRONG,TP+5%/SL-5%,1468,60.7,0.596,4.32,-32.8,875.5
-7.0,-3.0,4,999.0,STRONG,TP+5%/SL-5%,1124,61.1,0.609,4.32,-40.5,684.3
-6.0,-5.0,5,999.0,STRONG,引け決済,122,57.4,0.726,4.32,-11.6,88.6
-8.0,-6.0,5,0.0,STRONG,TP+5%/SL-5%,50,60.0,0.805,4.31,-8.7,40.2
-6.0,-4.0,4,999.0,STRONG,TP+5%/SL-3%,460,59.8,0.627,4.3,-33.5,288.4
-8.0,-3.0,5,2.0,STRONG,TP+5%/SL-5%,695,59.7,0.609,4.3,-20.6,423.2
-8.0,-4.0,4,2.0,STRONG,TP+2%/SL-2%,543,59.3,0.438,4.3,-15.4,237.8
-4.0,-3.0,2,999.0,STRONG,TP+5%/SL-5%,1017,61.5,0.562,4.3,-19.4,571.2
-4.0,-3.0,6,0.0,STRONG,TP+2%/SL-2%,77,61.0,0.436,4.3,-7.2,33.6
-6.0,-4.0,3,999.0,STRONG,TP+5%/SL-5%,668,59.9,0.638,4.29,-30.6,426.0
-6.0,-4.0,3,2.0,STRONG,TP+2%/SL-2%,560,59.8,0.43,4.29,-16.7,240.5
-5.0,-3.0,4,999.0,STRONG,TP+3%/SL-3%,848,60.7,0.507,4.29,-24.6,429.7
-4.0,-3.0,4,999.0,STRONG,TP+5%/SL-5%,559,61.2,0.55,4.29,-29.3,307.7
-8.0,-4.0,3,2.0,STRONG,引け決済,771,60.6,0.671,4.28,-22.9,517.5
-5.0,-3.0,4,999.0,STRONG,TP+5%/SL-3%,848,60.1,0.563,4.28,-22.3,477.5
-6.0,-3.0,4,999.0,STRONG,引け決済,1019,61.5,0.634,4.28,-52.2,646.0
-6.0,-3.0,4,999.0,STRONG,TP+5%/SL-3%,1019,60.1,0.576,4.27,-26.9,587.1
-4.0,-3.0,4,999.0,STRONG,TP+5%/SL-3%,559,60.3,0.534,4.27,-20.8,298.6
-6.0,-3.0,2,999.0,STRONG,TP+5%/SL-5%,1853,60.2,0.595,4.26,-25.1,1103.0
-7.0,-3.0,6,2.0,STRONG,TP+2%/SL-2%,397,59.7,0.439,4.26,-12.2,174.2
-5.0,-4.0,2,2.0,STRONG,TP+5%/SL-3%,448,58.7,0.582,4.25,-13.6,260.7
-6.0,-5.0,4,999.0,STRONG,TP+5%/SL-3%,171,59.6,0.641,4.25,-17.5,109.6
-6.0,-5.0,5,999.0,STRONG,TP+5%/SL-5%,122,58.2,0.676,4.24,-14.3,82.5
-6.0,-4.0,2,999.0,STRONG,TP+5%/SL-5%,836,58.7,0.636,4.24,-20.5,531.8
-4.0,-3.0,3,999.0,STRONG,TP+2%/SL-2%,800,60.0,0.397,4.24,-18.1,317.9
-6.0,-4.0,5,999.0,STRONG,引け決済,312,58.7,0.668,4.23,-27.0,208.5
-8.0,-3.0,5,2.0,STRONG,TP+2%/SL-2%,695,59.1,0.422,4.22,-13.9,293.1
-7.0,-5.0,5,2.0,STRONG,TP+5%/SL-3%,158,58.2,0.633,4.21,-19.6,100.0
-8.0,-3.0,5,2.0,STRONG,引け決済,695,60.0,0.628,4.21,-24.8,436.4
-4.0,-3.0,4,999.0,STRONG,TP+3%/SL-3%,559,60.6,0.473,4.21,-21.7,264.6
-7.0,-4.0,6,2.0,STRONG,TP+5%/SL-5%,205,60.5,0.674,4.21,-19.7,138.2
-6.0,-5.0,3,999.0,STRONG,TP+3%/SL-3%,232,60.3,0.563,4.2,-18.1,130.5
-6.0,-4.0,6,2.0,STRONG,TP+2%/SL-2%,161,57.8,0.441,4.2,-15.6,71.0
-8.0,-4.0,2,2.0,STRONG,TP+5%/SL-5%,939,60.1,0.632,4.18,-15.9,593.1
-5.0,-4.0,5,999.0,STRONG,引け決済,190,59.5,0.631,4.18,-20.2,119.9
-6.0,-5.0,4,999.0,STRONG,TP+2%/SL-2%,171,60.2,0.435,4.17,-11.4,74.4
-5.0,-3.0,3,999.0,STRONG,TP+5%/SL-5%,1236,60.5,0.558,4.17,-28.5,689.6
-4.0,-3.0,6,2.0,STRONG,引け決済,192,59.9,0.614,4.16,-18.6,117.9
-6.0,-4.0,6,999.0,STRONG,引け決済,199,56.8,0.669,4.16,-23.4,133.1
-5.0,-3.0,4,999.0,STRONG,引け決済,848,61.6,0.595,4.16,-36.1,505.0
-5.0,-4.0,3,2.0,STRONG,TP+5%/SL-3%,364,59.3,0.563,4.16,-17.5,204.8
-8.0,-4.0,6,2.0,STRONG,引け決済,252,59.1,0.687,4.16,-18.2,173.0
