drop_lo,drop_hi,rb_min,gap_max,condition,exit,n,wr,avg,sharpe,max_dd,cum
-5.0,-3.0,4,2.0,NORMAL+STRONG,TP+5%/SL-5%,2583,52.4,0.242,1.71,-45.3,624.2
-8.0,-5.0,5,999.0,STRONG,TP+5%/SL-3%,273,51.3,0.262,1.69,-29.7,71.6
-5.0,-4.0,4,2.0,NORMAL+STRONG,TP+5%/SL-5%,962,52.1,0.254,1.68,-27.2,244.3
-4.0,-3.0,4,0.0,NORMAL+STRONG,TP+2%/SL-2%,791,53.1,0.166,1.68,-24.1,131.1
-4.0,-3.0,5,2.0,NORMAL+STRONG,TP+2%/SL-2%,1020,51.4,0.166,1.68,-23.9,168.8
-4.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-3%,791,53.0,0.223,1.66,-35.1,176.4
-5.0,-4.0,2,0.0,NORMAL+STRONG,TP+5%/SL-3%,924,51.5,0.242,1.65,-33.8,223.7
-4.0,-3.0,4,0.0,NORMAL+STRONG,TP+3%/SL-3%,791,54.2,0.203,1.65,-31.3,160.4
-5.0,-4.0,6,2.0,NORMAL+STRONG,TP+3%/SL-3%,413,51.8,0.224,1.64,-17.6,92.5
-5.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-3%,1666,50.4,0.224,1.63,-39.2,373.9
-5.0,-4.0,4,999.0,NORMAL+STRONG,TP+5%/SL-3%,1067,50.3,0.235,1.63,-42.4,250.7
-5.0,-4.0,4,0.0,NORMAL+STRONG,引け決済,483,54.9,0.264,1.63,-33.8,127.6
-8.0,-5.0,6,2.0,STRONG,TP+3%/SL-3%,153,54.2,0.222,1.62,-16.5,34.0
-5.0,-4.0,4,0.0,NORMAL+STRONG,TP+5%/SL-5%,483,54.2,0.262,1.62,-28.0,126.5
-5.0,-3.0,5,2.0,NORMAL+STRONG,TP+3%/SL-3%,1666,51.6,0.202,1.61,-34.8,335.8
-5.0,-4.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,646,52.3,0.253,1.6,-22.7,163.7
-6.0,-3.0,4,2.0,NORMAL+STRONG,TP+5%/SL-3%,3179,50.8,0.216,1.59,-63.9,686.1
-5.0,-3.0,4,2.0,NORMAL+STRONG,TP+2%/SL-2%,2583,51.9,0.158,1.59,-34.3,408.0
-5.0,-3.0,3,0.0,NORMAL+STRONG,TP+5%/SL-3%,1892,52.7,0.22,1.59,-34.8,416.6
-5.0,-4.0,6,0.0,NORMAL+STRONG,TP+5%/SL-3%,211,50.2,0.257,1.58,-17.8,54.2
-7.0,-6.0,2,999.0,STRONG,TP+3%/SL-3%,179,56.4,0.217,1.58,-15.2,38.8
-6.0,-3.0,4,2.0,NORMAL+STRONG,TP+5%/SL-5%,3179,52.1,0.227,1.58,-64.8,722.9
-5.0,-4.0,4,2.0,NORMAL+STRONG,引け決済,962,52.3,0.243,1.57,-29.5,233.4
-5.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-5%,1274,54.0,0.237,1.57,-30.6,301.4
-7.0,-6.0,3,999.0,STRONG,TP+5%/SL-3%,142,54.2,0.239,1.56,-19.2,34.0
-5.0,-3.0,5,0.0,NORMAL+STRONG,TP+5%/SL-3%,855,51.0,0.223,1.55,-30.2,190.9
-6.0,-3.0,4,2.0,NORMAL+STRONG,TP+3%/SL-3%,3179,51.9,0.192,1.55,-67.4,609.6
-4.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-5%,791,53.9,0.221,1.55,-42.4,174.9
-7.0,-6.0,3,999.0,STRONG,TP+5%/SL-5%,142,56.3,0.256,1.54,-23.1,36.3
-6.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-3%,1572,52.2,0.22,1.54,-28.0,345.6
-5.0,-4.0,5,0.0,NORMAL+STRONG,TP+3%/SL-3%,343,52.8,0.212,1.54,-20.7,72.8
-4.0,-3.0,3,0.0,NORMAL+STRONG,TP+3%/SL-3%,1167,54.6,0.189,1.54,-26.9,220.8
-7.0,-6.0,5,999.0,STRONG,引け決済,76,55.3,0.229,1.52,-10.8,17.4
-5.0,-3.0,3,0.0,NORMAL+STRONG,TP+3%/SL-3%,1892,54.0,0.191,1.51,-36.5,360.9
-4.0,-3.0,3,0.0,NORMAL+STRONG,TP+5%/SL-3%,1167,53.3,0.2,1.51,-31.9,233.7
-8.0,-6.0,4,999.0,STRONG,TP+5%/SL-3%,204,49.5,0.234,1.5,-23.0,47.7
-7.0,-6.0,2,999.0,STRONG,TP+2%/SL-2%,179,53.6,0.161,1.5,-13.5,28.8
-7.0,-6.0,6,2.0,STRONG,TP+5%/SL-5%,44,61.4,0.266,1.5,-11.9,11.7
-5.0,-4.0,4,999.0,NORMAL+STRONG,TP+3%/SL-3%,1067,51.6,0.193,1.5,-35.8,205.7
-8.0,-4.0,6,999.0,STRONG,TP+3%/SL-3%,315,53.0,0.209,1.5,-36.6,65.8
-5.0,-3.0,6,2.0,NORMAL+STRONG,TP+3%/SL-3%,1024,51.4,0.197,1.49,-35.8,201.2
-5.0,-3.0,6,2.0,NORMAL+STRONG,TP+5%/SL-3%,1024,50.0,0.215,1.49,-41.9,220.5
-5.0,-4.0,4,999.0,NORMAL+STRONG,TP+5%/SL-5%,1067,51.8,0.228,1.49,-39.7,242.8
-8.0,-5.0,6,999.0,STRONG,引け決済,196,54.1,0.267,1.49,-31.3,52.3
-5.0,-4.0,5,999.0,NORMAL+STRONG,TP+5%/SL-3%,718,49.6,0.219,1.48,-26.5,157.5
-4.0,-3.0,5,2.0,NORMAL+STRONG,TP+3%/SL-3%,1020,51.3,0.179,1.48,-31.7,182.9
-7.0,-3.0,4,2.0,NORMAL+STRONG,TP+5%/SL-3%,3606,50.5,0.204,1.48,-47.8,736.3
-8.0,-6.0,4,999.0,STRONG,TP+5%/SL-5%,204,52.0,0.25,1.48,-22.4,51.0
-5.0,-4.0,5,2.0,NORMAL+STRONG,引け決済,646,52.6,0.236,1.47,-26.9,152.2
-6.0,-4.0,4,2.0,NORMAL+STRONG,TP+5%/SL-3%,1558,49.8,0.21,1.47,-47.6,327.2
-5.0,-3.0,2,0.0,NORMAL+STRONG,TP+5%/SL-3%,2509,52.1,0.201,1.47,-45.4,505.1
-5.0,-4.0,2,0.0,NORMAL+STRONG,TP+3%/SL-3%,924,52.6,0.194,1.47,-27.2,178.9
-5.0,-4.0,3,0.0,NORMAL+STRONG,TP+3%/SL-3%,725,53.0,0.193,1.46,-28.7,140.1
-7.0,-6.0,3,999.0,STRONG,引け決済,142,57.7,0.22,1.46,-15.2,31.2
-6.0,-5.0,6,999.0,STRONG,TP+2%/SL-2%,80,52.5,0.161,1.46,-16.5,12.9
-4.0,-3.0,3,0.0,NORMAL+STRONG,TP+2%/SL-2%,1167,53.1,0.144,1.46,-21.6,168.6
-4.0,-3.0,2,0.0,NORMAL+STRONG,TP+3%/SL-3%,1585,53.8,0.176,1.45,-35.6,279.4
-4.0,-3.0,3,0.0,NORMAL+STRONG,TP+5%/SL-5%,1167,54.3,0.205,1.45,-34.0,239.7
-8.0,-5.0,6,999.0,STRONG,TP+5%/SL-5%,196,54.1,0.245,1.45,-23.9,48.0
-5.0,-3.0,4,0.0,NORMAL+STRONG,TP+2%/SL-2%,1274,52.2,0.146,1.45,-25.1,186.4
-5.0,-3.0,2,0.0,NORMAL+STRONG,TP+3%/SL-3%,2509,53.3,0.183,1.45,-43.8,458.3
-6.0,-4.0,4,2.0,NORMAL+STRONG,TP+5%/SL-5%,1558,51.5,0.22,1.44,-59.5,342.9
-5.0,-3.0,4,2.0,NORMAL+STRONG,引け決済,2583,52.3,0.209,1.44,-47.2,540.7
-5.0,-3.0,5,2.0,NORMAL+STRONG,TP+2%/SL-2%,1666,50.7,0.145,1.44,-33.3,241.0
-6.0,-4.0,4,0.0,NORMAL+STRONG,TP+5%/SL-3%,781,51.3,0.217,1.44,-31.9,169.2
-7.0,-6.0,3,999.0,STRONG,TP+2%/SL-2%,142,53.5,0.153,1.44,-9.7,21.7
-7.0,-3.0,4,2.0,NORMAL+STRONG,TP+5%/SL-5%,3606,51.7,0.212,1.44,-67.0,765.9
-6.0,-3.0,4,0.0,NORMAL+STRONG,TP+3%/SL-3%,1572,53.2,0.185,1.43,-32.3,290.9
-5.0,-4.0,6,999.0,NORMAL+STRONG,TP+5%/SL-3%,463,49.7,0.219,1.43,-23.6,101.5
-5.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,1666,51.4,0.21,1.43,-38.7,349.1
-5.0,-3.0,3,0.0,NORMAL+STRONG,TP+5%/SL-5%,1892,54.2,0.214,1.43,-45.0,405.7
-5.0,-3.0,5,0.0,NORMAL+STRONG,TP+3%/SL-3%,855,52.3,0.187,1.42,-27.2,159.6
-8.0,-6.0,3,999.0,STRONG,引け決済,266,54.9,0.256,1.42,-28.3,68.2
-8.0,-5.0,5,999.0,STRONG,TP+3%/SL-3%,273,52.7,0.197,1.42,-29.0,53.9
-6.0,-4.0,4,0.0,NORMAL+STRONG,引け決済,781,54.0,0.243,1.42,-34.0,189.5
-5.0,-4.0,3,0.0,NORMAL+STRONG,TP+5%/SL-5%,725,53.9,0.229,1.42,-36.6,166.0
-5.0,-3.0,4,999.0,NORMAL+STRONG,TP+5%/SL-3%,2837,50.5,0.193,1.42,-48.3,546.6
-8.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-3%,1964,51.1,0.208,1.41,-35.7,408.6
-4.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-3%,1020,50.2,0.184,1.41,-45.2,187.4
-7.0,-6.0,5,999.0,STRONG,TP+5%/SL-5%,76,53.9,0.233,1.41,-14.9,17.7
-6.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-5%,1572,53.7,0.215,1.4,-42.1,337.4
-7.0,-3.0,4,2.0,NORMAL+STRONG,TP+3%/SL-3%,3606,51.6,0.176,1.4,-51.7,634.4
-8.0,-6.0,3,999.0,STRONG,TP+5%/SL-5%,266,53.4,0.241,1.4,-26.9,64.1
-8.0,-6.0,5,2.0,STRONG,TP+5%/SL-5%,121,52.1,0.23,1.39,-11.0,27.9
-6.0,-4.0,4,2.0,NORMAL+STRONG,TP+3%/SL-3%,1558,51.0,0.18,1.39,-45.7,280.0
-4.0,-3.0,6,2.0,NORMAL+STRONG,TP+3%/SL-3%,611,51.1,0.178,1.39,-30.0,108.7
-7.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-3%,1792,51.4,0.201,1.39,-36.2,360.8
-6.0,-4.0,4,2.0,NORMAL+STRONG,引け決済,1558,51.5,0.22,1.39,-55.5,343.4
-4.0,-3.0,2,2.0,NORMAL+STRONG,TP+3%/SL-3%,3188,52.4,0.164,1.39,-54.0,522.1
-5.0,-4.0,2,0.0,NORMAL+STRONG,TP+5%/SL-5%,924,53.7,0.223,1.38,-36.0,205.9
-5.0,-3.0,4,999.0,NORMAL+STRONG,TP+5%/SL-5%,2837,51.7,0.199,1.38,-46.5,565.8
-8.0,-3.0,4,2.0,NORMAL+STRONG,TP+5%/SL-3%,3954,50.1,0.191,1.37,-50.3,756.8
-5.0,-3.0,4,0.0,NORMAL+STRONG,引け決済,1274,54.0,0.211,1.37,-40.9,268.4
-6.0,-3.0,4,2.0,NORMAL+STRONG,引け決済,3179,52.0,0.205,1.37,-59.6,650.7
-4.0,-3.0,4,2.0,NORMAL+STRONG,引け決済,1621,52.4,0.19,1.36,-54.4,307.3
-6.0,-3.0,5,2.0,NORMAL+STRONG,TP+3%/SL-3%,2081,50.7,0.173,1.36,-42.9,360.5
-4.0,-3.0,2,2.0,NORMAL+STRONG,TP+5%/SL-3%,3188,51.5,0.172,1.36,-56.4,549.9
-4.0,-3.0,2,0.0,NORMAL+STRONG,TP+5%/SL-3%,1585,52.5,0.178,1.35,-37.7,281.4
-5.0,-4.0,5,999.0,NORMAL+STRONG,TP+3%/SL-3%,718,51.0,0.178,1.35,-25.0,127.4
-6.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-3%,2081,49.5,0.188,1.35,-46.8,391.9
-5.0,-3.0,2,2.0,NORMAL+STRONG,TP+5%/SL-3%,5032,50.7,0.179,1.35,-54.9,898.4
-5.0,-4.0,3,0.0,NORMAL+STRONG,引け決済,725,54.1,0.215,1.34,-42.6,156.0
-4.0,-3.0,5,0.0,NORMAL+STRONG,TP+2%/SL-2%,512,50.6,0.135,1.34,-23.4,68.9
-4.0,-3.0,5,0.0,NORMAL+STRONG,TP+3%/SL-3%,512,52.0,0.17,1.34,-28.4,86.8
-4.0,-3.0,3,2.0,NORMAL+STRONG,TP+5%/SL-5%,2380,52.1,0.182,1.34,-58.6,432.6
-4.0,-3.0,5,0.0,NORMAL+STRONG,TP+5%/SL-3%,512,50.8,0.183,1.34,-31.4,93.6
-5.0,-4.0,2,2.0,NORMAL+STRONG,TP+5%/SL-3%,1844,49.3,0.189,1.33,-41.7,348.5
-4.0,-3.0,3,2.0,NORMAL+STRONG,TP+3%/SL-3%,2380,52.1,0.158,1.33,-47.6,375.5
-5.0,-4.0,5,0.0,NORMAL+STRONG,引け決済,343,54.2,0.225,1.33,-21.9,77.3
-8.0,-3.0,4,2.0,NORMAL+STRONG,TP+5%/SL-5%,3954,51.4,0.2,1.33,-74.3,788.9
-4.0,-3.0,2,2.0,NORMAL+STRONG,TP+5%/SL-5%,3188,52.4,0.179,1.33,-83.1,570.7
-8.0,-6.0,5,2.0,STRONG,TP+5%/SL-3%,121,49.6,0.209,1.33,-12.9,25.2
-4.0,-3.0,6,2.0,NORMAL+STRONG,TP+2%/SL-2%,611,50.4,0.136,1.33,-26.5,82.8
-4.0,-3.0,3,2.0,NORMAL+STRONG,TP+5%/SL-3%,2380,51.2,0.168,1.32,-56.5,400.7
-4.0,-3.0,4,999.0,NORMAL+STRONG,TP+5%/SL-5%,1770,51.6,0.183,1.32,-56.9,323.0
-5.0,-3.0,3,2.0,NORMAL+STRONG,TP+5%/SL-3%,3823,50.6,0.175,1.32,-51.5,669.6
-5.0,-4.0,6,999.0,NORMAL+STRONG,TP+3%/SL-3%,463,51.0,0.18,1.32,-21.4,83.5
-7.0,-6.0,5,999.0,STRONG,TP+2%/SL-2%,76,52.6,0.143,1.32,-9.4,10.9
-6.0,-4.0,5,2.0,NORMAL+STRONG,引け決済,1061,51.1,0.212,1.32,-34.1,225.3
-5.0,-4.0,3,2.0,NORMAL+STRONG,TP+5%/SL-3%,1443,49.7,0.186,1.32,-38.5,268.9
-6.0,-4.0,5,2.0,NORMAL+STRONG,TP+5%/SL-3%,1061,48.9,0.193,1.31,-31.5,204.6
-4.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,1020,50.9,0.182,1.31,-40.3,185.4
-7.0,-4.0,4,2.0,NORMAL+STRONG,TP+5%/SL-3%,1985,49.4,0.19,1.31,-54.3,377.4
-5.0,-3.0,2,0.0,NORMAL+STRONG,TP+5%/SL-5%,2509,53.5,0.194,1.31,-45.2,487.5
-5.0,-3.0,2,2.0,NORMAL+STRONG,TP+3%/SL-3%,5032,51.7,0.159,1.31,-57.0,799.2
-5.0,-3.0,4,999.0,NORMAL+STRONG,TP+3%/SL-3%,2837,51.5,0.161,1.31,-52.3,457.8
-6.0,-3.0,4,0.0,NORMAL+STRONG,引け決済,1572,53.8,0.21,1.31,-49.3,330.4
-4.0,-3.0,3,2.0,NORMAL+STRONG,TP+2%/SL-2%,2380,51.7,0.128,1.31,-42.6,304.2
-5.0,-3.0,2,2.0,NORMAL+STRONG,TP+5%/SL-5%,5032,51.9,0.184,1.3,-51.5,926.7
-5.0,-4.0,5,0.0,NORMAL+STRONG,TP+5%/SL-5%,343,53.4,0.22,1.3,-22.4,75.4
-6.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,2081,50.9,0.193,1.29,-62.3,401.2
-5.0,-3.0,3,2.0,NORMAL+STRONG,TP+5%/SL-5%,3823,51.8,0.183,1.29,-52.8,699.3
-6.0,-4.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,1061,51.0,0.203,1.29,-46.0,215.8
-5.0,-4.0,4,999.0,NORMAL+STRONG,引け決済,1067,52.1,0.205,1.29,-44.4,218.3
-6.0,-3.0,4,2.0,NORMAL+STRONG,TP+2%/SL-2%,3179,51.1,0.128,1.28,-57.7,407.4
-6.0,-3.0,4,999.0,NORMAL+STRONG,TP+5%/SL-5%,3521,51.5,0.189,1.27,-71.9,664.4
-8.0,-4.0,4,0.0,NORMAL+STRONG,TP+5%/SL-3%,1173,49.9,0.198,1.27,-47.7,232.2
-5.0,-4.0,2,2.0,NORMAL+STRONG,TP+5%/SL-5%,1844,51.0,0.193,1.27,-51.4,356.0
-6.0,-4.0,4,0.0,NORMAL+STRONG,TP+5%/SL-5%,781,53.5,0.208,1.27,-32.8,162.5
-4.0,-3.0,4,999.0,NORMAL+STRONG,TP+5%/SL-3%,1770,50.6,0.167,1.27,-52.1,295.9
-8.0,-6.0,6,2.0,STRONG,引け決済,91,57.1,0.213,1.26,-14.5,19.4
-6.0,-3.0,3,0.0,NORMAL+STRONG,TP+5%/SL-3%,2320,51.9,0.178,1.26,-45.8,413.6
-4.0,-3.0,6,2.0,NORMAL+STRONG,TP+5%/SL-3%,611,49.6,0.174,1.26,-39.5,106.4
-6.0,-4.0,5,2.0,NORMAL+STRONG,TP+3%/SL-3%,1061,50.1,0.167,1.26,-29.9,177.6
-5.0,-3.0,3,2.0,NORMAL+STRONG,TP+3%/SL-3%,3823,51.6,0.153,1.26,-51.4,585.5
-4.0,-3.0,2,0.0,NORMAL+STRONG,TP+5%/SL-5%,1585,53.4,0.178,1.26,-53.5,281.6
-8.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-5%,1964,52.9,0.202,1.25,-51.1,396.8
-8.0,-6.0,3,999.0,STRONG,TP+5%/SL-3%,266,50.4,0.196,1.25,-23.8,52.1
-6.0,-3.0,2,2.0,NORMAL+STRONG,TP+5%/SL-5%,6100,51.8,0.181,1.25,-61.1,1105.1
-7.0,-3.0,4,2.0,NORMAL+STRONG,引け決済,3606,51.7,0.187,1.24,-61.0,674.2
-6.0,-3.0,6,2.0,NORMAL+STRONG,TP+5%/SL-3%,1282,49.3,0.181,1.24,-51.9,232.3
-8.0,-3.0,4,2.0,NORMAL+STRONG,TP+3%/SL-3%,3954,51.2,0.158,1.24,-54.1,623.0
-7.0,-3.0,4,0.0,NORMAL+STRONG,TP+3%/SL-3%,1792,52.6,0.163,1.24,-39.3,291.2
-6.0,-3.0,2,0.0,NORMAL+STRONG,TP+5%/SL-3%,3052,51.4,0.174,1.24,-50.3,531.7
-6.0,-4.0,4,999.0,NORMAL+STRONG,TP+5%/SL-5%,1751,51.3,0.195,1.24,-73.0,341.4
-7.0,-4.0,4,2.0,NORMAL+STRONG,TP+5%/SL-5%,1985,51.0,0.194,1.24,-70.4,385.9
-7.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-3%,2402,49.3,0.174,1.23,-48.6,418.0
-5.0,-3.0,3,0.0,NORMAL+STRONG,TP+2%/SL-2%,1892,52.1,0.124,1.23,-33.6,234.3
-6.0,-4.0,6,2.0,NORMAL+STRONG,TP+5%/SL-3%,671,49.0,0.188,1.23,-30.6,125.9
-7.0,-3.0,4,0.0,NORMAL+STRONG,TP+5%/SL-5%,1792,53.0,0.193,1.23,-49.9,346.0
-6.0,-3.0,2,0.0,NORMAL+STRONG,TP+5%/SL-5%,3052,53.2,0.188,1.23,-60.8,573.5
-6.0,-4.0,4,0.0,NORMAL+STRONG,TP+3%/SL-3%,781,52.2,0.167,1.23,-30.3,130.5
-4.0,-3.0,2,2.0,NORMAL+STRONG,TP+2%/SL-2%,3188,51.7,0.12,1.23,-36.0,383.8
-8.0,-6.0,2,999.0,STRONG,TP+5%/SL-3%,321,50.8,0.199,1.23,-23.4,63.8
-7.0,-6.0,4,999.0,STRONG,TP+3%/SL-3%,105,54.3,0.169,1.23,-19.1,17.7
-5.0,-4.0,5,999.0,NORMAL+STRONG,TP+5%/SL-5%,718,51.5,0.193,1.22,-22.3,138.9
-5.0,-4.0,3,2.0,NORMAL+STRONG,TP+5%/SL-5%,1443,51.3,0.185,1.22,-45.9,266.7
-6.0,-3.0,4,999.0,NORMAL+STRONG,TP+5%/SL-3%,3521,49.9,0.17,1.22,-64.2,597.0
-6.0,-3.0,3,0.0,NORMAL+STRONG,TP+5%/SL-5%,2320,53.7,0.188,1.22,-62.6,435.3
-4.0,-3.0,4,999.0,NORMAL+STRONG,TP+2%/SL-2%,1770,51.2,0.12,1.21,-29.2,212.3
-6.0,-4.0,2,0.0,NORMAL+STRONG,TP+5%/SL-5%,1467,53.0,0.199,1.21,-48.8,291.9
-5.0,-3.0,5,0.0,NORMAL+STRONG,TP+5%/SL-5%,855,52.3,0.189,1.21,-35.0,161.5
-7.0,-4.0,4,0.0,NORMAL+STRONG,TP+5%/SL-3%,1001,50.1,0.184,1.21,-44.2,184.4
-6.0,-3.0,2,2.0,NORMAL+STRONG,TP+5%/SL-3%,6100,50.3,0.163,1.2,-63.8,992.8
-7.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,2402,50.7,0.181,1.2,-57.4,435.3
-6.0,-3.0,3,2.0,NORMAL+STRONG,TP+5%/SL-5%,4660,51.7,0.175,1.2,-68.0,813.2
-6.0,-3.0,6,2.0,NORMAL+STRONG,TP+3%/SL-3%,1282,50.5,0.159,1.2,-47.5,204.3
-6.0,-5.0,6,2.0,NORMAL+STRONG,引け決済,258,49.2,0.195,1.19,-31.4,50.2
-6.0,-3.0,2,0.0,NORMAL+STRONG,TP+3%/SL-3%,3052,52.6,0.153,1.19,-54.5,466.9
-7.0,-6.0,4,999.0,STRONG,TP+2%/SL-2%,105,52.4,0.127,1.19,-8.3,13.4
-4.0,-3.0,4,0.0,NORMAL+STRONG,引け決済,791,53.5,0.178,1.19,-39.5,140.8
-5.0,-4.0,2,2.0,NORMAL+STRONG,TP+3%/SL-3%,1844,50.4,0.15,1.19,-41.3,277.1
-7.0,-3.0,5,2.0,NORMAL+STRONG,TP+3%/SL-3%,2402,50.4,0.152,1.18,-49.8,366.1
-4.0,-3.0,4,999.0,NORMAL+STRONG,TP+3%/SL-3%,1770,51.4,0.142,1.18,-48.0,252.0
-6.0,-4.0,2,2.0,NORMAL+STRONG,TP+5%/SL-5%,2912,51.2,0.184,1.18,-80.2,534.4
-6.0,-4.0,4,999.0,NORMAL+STRONG,TP+5%/SL-3%,1751,49.3,0.172,1.18,-62.7,301.1
-5.0,-4.0,4,2.0,NORMAL+STRONG,TP+2%/SL-2%,962,50.3,0.12,1.18,-34.2,115.2
-7.0,-4.0,4,2.0,NORMAL+STRONG,TP+3%/SL-3%,1985,50.6,0.153,1.17,-52.6,304.7
-8.0,-6.0,5,2.0,STRONG,TP+2%/SL-2%,121,50.4,0.127,1.17,-8.0,15.4
-6.0,-3.0,3,0.0,NORMAL+STRONG,TP+3%/SL-3%,2320,53.1,0.151,1.17,-56.5,350.9
-5.0,-3.0,6,2.0,NORMAL+STRONG,TP+2%/SL-2%,1024,49.8,0.121,1.17,-31.0,124.1
-7.0,-4.0,4,2.0,NORMAL+STRONG,引け決済,1985,51.1,0.185,1.16,-65.4,366.9
-6.0,-3.0,3,2.0,NORMAL+STRONG,TP+5%/SL-3%,4660,50.2,0.158,1.16,-64.2,735.0
-8.0,-6.0,2,999.0,STRONG,引け決済,321,55.5,0.224,1.16,-32.2,71.9
-7.0,-6.0,3,999.0,STRONG,TP+3%/SL-3%,142,54.9,0.16,1.16,-19.0,22.7
-5.0,-4.0,6,2.0,NORMAL+STRONG,TP+5%/SL-5%,413,52.3,0.196,1.16,-27.9,81.0
-8.0,-4.0,4,2.0,NORMAL+STRONG,TP+5%/SL-3%,2333,48.9,0.171,1.16,-63.7,397.9
-8.0,-3.0,4,0.0,NORMAL+STRONG,TP+3%/SL-3%,1964,52.3,0.154,1.16,-43.4,303.1
-6.0,-3.0,2,2.0,NORMAL+STRONG,TP+3%/SL-3%,6100,51.3,0.142,1.15,-74.3,865.5
-5.0,-4.0,3,2.0,NORMAL+STRONG,TP+3%/SL-3%,1443,50.7,0.146,1.15,-34.9,210.0
-4.0,-3.0,5,0.0,NORMAL+STRONG,TP+5%/SL-5%,512,51.6,0.168,1.15,-35.7,86.1
-5.0,-4.0,5,2.0,NORMAL,TP+5%/SL-3%,488,47.7,0.171,1.15,-29.5,83.4
-7.0,-3.0,4,0.0,NORMAL+STRONG,引け決済,1792,53.2,0.187,1.15,-56.3,335.5
-5.0,-3.0,5,2.0,NORMAL+STRONG,引け決済,1666,51.4,0.17,1.14,-45.6,283.3
-4.0,-3.0,2,999.0,NORMAL+STRONG,TP+5%/SL-5%,3494,51.7,0.159,1.14,-78.2,555.1
-8.0,-6.0,2,999.0,STRONG,TP+5%/SL-5%,321,53.9,0.207,1.14,-24.9,66.5
-8.0,-5.0,5,999.0,STRONG,TP+2%/SL-2%,273,50.9,0.124,1.14,-33.5,33.8
-7.0,-3.0,4,2.0,NORMAL+STRONG,TP+2%/SL-2%,3606,50.8,0.115,1.14,-50.9,415.9
-6.0,-3.0,5,0.0,NORMAL+STRONG,TP+5%/SL-3%,1056,50.1,0.167,1.14,-40.0,176.2
-6.0,-5.0,4,0.0,NORMAL+STRONG,引け決済,298,52.7,0.208,1.14,-31.9,62.0
-6.0,-4.0,2,0.0,NORMAL+STRONG,TP+5%/SL-3%,1467,50.3,0.171,1.14,-47.9,250.3
-7.0,-4.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,1382,50.6,0.181,1.13,-52.4,249.8
-5.0,-3.0,3,0.0,NORMAL+STRONG,引け決済,1892,54.0,0.172,1.13,-55.8,325.9
-6.0,-3.0,5,2.0,NORMAL+STRONG,引け決済,2081,50.9,0.171,1.13,-55.6,356.4
-8.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-3%,2664,49.1,0.162,1.13,-52.0,431.3
-8.0,-4.0,6,999.0,STRONG,TP+2%/SL-2%,315,51.1,0.123,1.13,-45.3,38.7
-6.0,-4.0,4,999.0,NORMAL+STRONG,引け決済,1751,51.4,0.183,1.12,-72.0,320.3
-6.0,-5.0,4,2.0,NORMAL+STRONG,引け決済,596,50.3,0.185,1.12,-40.6,110.0
-8.0,-3.0,5,2.0,NORMAL+STRONG,TP+5%/SL-5%,2664,50.7,0.172,1.12,-64.6,458.9
-5.0,-4.0,3,2.0,NORMAL+STRONG,引け決済,1443,51.3,0.173,1.12,-53.0,250.2
-5.0,-3.0,5,999.0,NORMAL+STRONG,TP+5%/SL-3%,1845,49.3,0.156,1.12,-40.2,287.3
-8.0,-3.0,4,2.0,NORMAL+STRONG,引け決済,3954,51.4,0.171,1.12,-60.7,675.0
-7.0,-4.0,4,0.0,NORMAL+STRONG,引け決済,1001,52.9,0.194,1.12,-42.7,194.6
-7.0,-4.0,5,2.0,NORMAL+STRONG,TP+5%/SL-3%,1382,48.6,0.167,1.12,-39.7,230.7
-8.0,-6.0,5,2.0,STRONG,引け決済,121,52.9,0.189,1.11,-15.8,22.9
-7.0,-3.0,4,999.0,NORMAL+STRONG,TP+5%/SL-5%,4007,51.0,0.168,1.11,-82.6,672.7
-4.0,-3.0,2,999.0,NORMAL+STRONG,TP+5%/SL-3%,3494,50.5,0.144,1.11,-63.3,504.5
-8.0,-3.0,4,0.0,NORMAL+STRONG,引け決済,1964,52.9,0.185,1.11,-58.7,362.8
-5.0,-4.0,4,0.0,NORMAL+STRONG,TP+2%/SL-2%,483,50.7,0.114,1.1,-26.7,55.3
-8.0,-6.0,6,2.0,STRONG,TP+5%/SL-3%,91,52.7,0.175,1.1,-10.4,15.9
