Date,us_prev_chg
2025-06-13,-1.13
2025-06-16,0.939
2025-06-17,-0.835
2025-06-18,-0.031
2025-06-20,-0.218
2025-06-23,0.961
2025-06-24,1.112
2025-06-25,-0.0
2025-06-26,0.802
2025-06-27,0.522
2025-06-30,0.516
2025-07-01,-0.112
2025-07-02,0.475
2025-07-03,0.834
2025-07-07,-0.786
2025-07-08,-0.072
2025-07-09,0.606
2025-07-10,0.275
2025-07-11,-0.33
2025-07-14,0.141
2025-07-15,-0.396
2025-07-16,0.319
2025-07-17,0.537
2025-07-18,-0.009
2025-07-21,0.14
2025-07-22,0.064
2025-07-23,0.781
2025-07-24,0.07
2025-07-25,0.397
2025-07-28,0.018
2025-07-29,-0.296
2025-07-30,-0.125
2025-07-31,-0.369
2025-08-01,-1.599
2025-08-04,1.474
2025-08-05,-0.486
2025-08-06,0.728
2025-08-07,-0.08
2025-08-08,0.78
2025-08-11,-0.25
2025-08-12,1.135
2025-08-13,0.323
2025-08-14,0.03
2025-08-15,-0.29
2025-08-18,-0.01
2025-08-19,-0.586
2025-08-20,-0.243
2025-08-21,-0.4
2025-08-22,1.519
2025-08-25,-0.427
2025-08-26,0.413
2025-08-27,0.239
2025-08-28,0.316
2025-08-29,-0.64
2025-09-02,-0.692
2025-09-03,0.51
2025-09-04,0.835
2025-09-05,-0.317
2025-09-08,0.211
2025-09-09,0.269
2025-09-10,0.298
2025-09-11,0.849
2025-09-12,-0.048
2025-09-15,0.471
2025-09-16,-0.129
2025-09-17,-0.097
2025-09-18,0.479
2025-09-19,0.489
2025-09-22,0.441
2025-09-23,-0.55
2025-09-24,-0.285
2025-09-25,-0.501
2025-09-26,0.59
2025-09-29,0.264
2025-09-30,0.409
2025-10-01,0.34
2025-10-02,0.062
2025-10-03,0.007
2025-10-06,0.365
2025-10-07,-0.381
2025-10-08,0.583
2025-10-09,-0.276
2025-10-10,-2.711
2025-10-13,1.56
2025-10-14,-0.156
2025-10-15,0.403
2025-10-16,-0.629
2025-10-17,0.527
2025-10-20,1.067
2025-10-21,0.003
2025-10-22,-0.534
2025-10-23,0.583
2025-10-24,0.79
2025-10-27,1.229
2025-10-28,0.229
2025-10-29,-0.004
2025-10-30,-0.99
2025-10-31,0.262
2025-11-03,0.172
2025-11-04,-1.174
2025-11-05,0.365
2025-11-06,-1.118
2025-11-07,0.126
2025-11-10,1.54
2025-11-11,0.208
2025-11-12,0.063
2025-11-13,-1.656
2025-11-14,-0.05
2025-11-17,-0.916
2025-11-18,-0.826
2025-11-19,0.375
2025-11-20,-1.557
2025-11-21,0.982
2025-11-24,1.547
2025-11-25,0.906
2025-11-26,0.691
2025-11-28,0.535
2025-12-01,-0.532
2025-12-02,0.246
2025-12-03,0.298
2025-12-04,0.108
2025-12-05,0.194
2025-12-08,-0.348
2025-12-09,-0.088
2025-12-10,0.675
2025-12-11,0.208
2025-12-12,-1.066
2025-12-15,-0.16
2025-12-16,-0.238
2025-12-17,-1.159
2025-12-18,0.793
2025-12-19,0.882
2025-12-22,0.644
2025-12-23,0.455
2025-12-24,0.322
2025-12-26,-0.03
2025-12-29,-0.349
2025-12-30,-0.138
2025-12-31,-0.736
2026-01-02,0.189
2026-01-05,0.635
2026-01-06,0.62
2026-01-07,-0.344
2026-01-08,0.008
2026-01-09,0.648
2026-01-12,0.158
2026-01-13,-0.194
2026-01-14,-0.533
2026-01-15,0.258
2026-01-16,-0.064
2026-01-20,-2.063
2026-01-21,1.159
2026-01-22,0.549
2026-01-23,0.033
2026-01-26,0.501
2026-01-27,0.408
2026-01-28,-0.008
2026-01-29,-0.129
2026-01-30,-0.43
2026-02-02,0.539
2026-02-03,-0.84
2026-02-04,-0.507
2026-02-05,-1.225
2026-02-06,1.97
2026-02-09,0.469
2026-02-10,-0.33
2026-02-11,-0.005
2026-02-12,-1.566
2026-02-13,0.05
2026-02-17,0.103
2026-02-18,0.557
2026-02-19,-0.282
2026-02-20,0.694
2026-02-23,-1.039
2026-02-24,0.765
2026-02-25,0.814
2026-02-26,-0.537
2026-02-27,-0.434
2026-03-02,0.04
2026-03-03,-0.944
2026-03-04,0.776
2026-03-05,-0.565
2026-03-06,-1.328
2026-03-09,0.83
2026-03-10,-0.214
2026-03-11,-0.084
2026-03-12,-1.523
2026-03-13,-0.606
2026-03-16,1.013
2026-03-17,0.249
2026-03-18,-1.361
2026-03-19,-0.275
2026-03-20,-1.514
2026-03-23,1.145
2026-03-24,-0.374
2026-03-25,0.542
2026-03-26,-1.741
2026-03-27,-1.672
2026-03-30,-0.395
2026-03-31,2.913
2026-04-01,0.717
2026-04-02,0.112
2026-04-06,0.443
2026-04-07,0.076
2026-04-08,2.508
2026-04-09,0.617
2026-04-10,-0.114
2026-04-13,1.017
2026-04-14,1.178
2026-04-15,0.798
2026-04-16,0.261
2026-04-17,1.204
2026-04-20,-0.237
2026-04-21,-0.635
2026-04-22,1.046
2026-04-23,-0.413
2026-04-24,0.797
2026-04-27,0.123
2026-04-28,-0.489
2026-04-29,-0.04
2026-04-30,1.024
2026-05-01,0.293
2026-05-04,-0.406
2026-05-05,0.812
2026-05-06,1.459
2026-05-07,-0.38
2026-05-08,0.843
2026-05-11,0.188
2026-05-12,-0.16
2026-05-13,0.585
2026-05-14,0.766
2026-05-15,-1.236
2026-05-18,-0.074
2026-05-19,-0.668
2026-05-20,1.079
2026-05-21,0.172
2026-05-22,0.373
2026-05-26,0.611
2026-05-27,0.016
2026-05-28,0.575
2026-05-29,0.217
2026-06-01,0.263
2026-06-02,0.129
2026-06-03,-0.737
2026-06-04,0.405
2026-06-05,-2.645
2026-06-08,0.298
2026-06-09,-0.258
