code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,gap_pct,ret_oc,ret_max,ret_low,lower_shadow_ratio,vol_decay_3d,consec_drop
1357,2026-02-03,2026-02-04,STRONG,NORMAL,-7.82,3,2.35,-0.85,0.54,-1.27,0.03,0,1
1357,2026-02-09,2026-02-10,STRONG,STRONG,-7.91,6,-2.33,-2.16,0.0,-3.33,0.535,0,2
1357,2026-02-10,2026-02-12,STRONG,NORMAL,-4.44,7,-0.76,0.56,1.07,-0.56,0.351,0,3
1357,2026-02-25,2026-02-26,NORMAL,NORMAL,-4.59,5,-1.67,1.16,1.77,-0.82,0.217,0,2
135A,2025-05-19,2025-05-20,NORMAL,NORMAL,-3.74,5,1.69,4.56,5.44,-0.74,0.123,0,1
135A,2025-07-18,2025-07-22,WEAK,WEAK,-4.39,6,1.66,-6.7,0.42,-7.68,0.116,1,1
135A,2025-07-22,2025-07-23,WEAK,STRONG,-5.16,7,2.5,2.34,4.67,-0.63,0.121,0,2
135A,2025-07-29,2025-07-30,NORMAL,NORMAL,-3.12,3,0.18,2.86,3.7,-0.18,0.068,1,2
135A,2025-08-01,2025-08-04,NORMAL,NORMAL,-3.75,3,-2.29,4.22,5.96,-0.99,0.071,0,2
135A,2025-12-12,2025-12-15,STRONG,NORMAL,-4.29,2,-1.7,6.92,8.18,-0.31,0.314,0,4
135A,2025-12-16,2025-12-17,WEAK,NORMAL,-3.82,2,-0.61,-1.38,0.62,-2.31,0.359,0,1
135A,2025-12-18,2025-12-19,NORMAL,NORMAL,-3.9,5,1.46,4.48,5.6,-1.12,0.0,0,3
135A,2025-12-24,2025-12-25,NORMAL,NORMAL,-3.63,3,1.25,0.62,1.24,-0.62,0.083,0,1
135A,2025-12-30,2026-01-05,WEAK,NORMAL,-3.21,3,2.21,-2.31,4.01,-3.24,0.158,0,1
135A,2026-01-15,2026-01-16,STRONG,NORMAL,-9.25,6,-1.15,0.33,0.83,-3.39,0.124,0,1
135A,2026-01-20,2026-01-21,WEAK,WEAK,-7.08,7,-1.8,-0.51,0.99,-2.31,0.004,0,4
135A,2026-02-04,2026-02-05,NORMAL,NORMAL,-4.98,7,-1.5,-0.87,1.07,-1.73,0.16,0,1
135A,2026-02-13,2026-02-16,WEAK,NORMAL,-4.54,4,-0.33,0.99,0.99,-1.6,0.19,0,2
135A,2026-03-26,2026-03-27,WEAK,NORMAL,-7.67,2,0.04,4.49,4.57,0.0,0.023,0,1
1360,2025-04-25,2025-04-28,NORMAL,NORMAL,-4.21,4,-1.44,0.94,1.3,-0.42,0.222,0,3
1360,2025-05-29,2025-05-30,NORMAL,NORMAL,-3.7,3,2.98,-0.8,0.65,-1.19,0.02,0,1
1360,2025-06-26,2025-06-27,NORMAL,NORMAL,-3.29,5,-2.02,-1.01,0.2,-1.78,0.08,0,3
1360,2025-06-27,2025-06-30,NORMAL,STRONG,-3.01,4,-2.41,0.84,1.42,-1.3,0.388,0,4
1360,2025-07-23,2025-07-24,STRONG,STRONG,-7.42,6,-2.64,-0.36,0.71,-1.56,0.124,0,1
1360,2025-08-08,2025-08-12,NORMAL,STRONG,-3.84,5,-1.84,-2.56,0.0,-3.84,0.245,0,4
1360,2025-08-12,2025-08-13,STRONG,NORMAL,-4.35,7,-2.2,-0.58,0.91,-1.2,0.333,0,5
1360,2025-08-15,2025-08-18,NORMAL,STRONG,-3.46,4,-0.44,-0.97,0.44,-1.66,0.029,0,1
1360,2025-09-08,2025-09-09,NORMAL,NORMAL,-3.06,2,-0.94,1.99,2.04,-1.4,0.34,0,3
1365,2025-04-11,2025-04-14,NORMAL,STRONG,-5.21,6,1.99,0.29,2.04,-0.45,0.225,0,1
1365,2025-11-05,2025-11-06,WEAK,NORMAL,-5.42,2,4.0,-1.77,0.09,-2.49,0.753,0,2
1366,2025-04-10,2025-04-11,STRONG,NORMAL,-17.9,3,9.3,-3.72,1.86,-3.72,0.133,0,1
1366,2025-04-25,2025-04-28,NORMAL,NORMAL,-3.89,4,-1.87,0.95,1.27,-0.32,0.444,0,3
1366,2025-05-29,2025-05-30,NORMAL,NORMAL,-3.85,4,2.91,-0.71,0.71,-1.41,0.0,0,1
1366,2025-06-26,2025-06-27,NORMAL,NORMAL,-3.36,4,-1.93,-0.79,0.0,-2.36,0.125,0,3
1366,2025-07-23,2025-07-24,STRONG,STRONG,-7.45,7,-2.54,-0.43,0.87,-1.74,0.133,0,1
1366,2025-08-08,2025-08-12,NORMAL,STRONG,-3.78,5,-1.75,-2.67,0.0,-4.44,0.3,0,4
1366,2025-08-12,2025-08-13,STRONG,NORMAL,-4.37,8,-2.28,-0.93,0.93,-1.4,0.4,0,5
1366,2025-08-13,2025-08-14,NORMAL,NORMAL,-3.2,4,1.42,1.86,2.33,-0.93,0.2,0,6
1366,2025-08-15,2025-08-18,NORMAL,STRONG,-3.2,4,-0.47,-1.42,0.47,-1.9,0.143,1,1
1368,2025-04-25,2025-04-28,NORMAL,NORMAL,-3.47,4,-1.35,0.0,0.23,-1.37,0.125,1,4
1368,2025-06-27,2025-06-30,NORMAL,STRONG,-3.07,3,-1.32,0.8,1.34,-0.53,0.143,0,4
1368,2025-07-23,2025-07-24,STRONG,STRONG,-6.82,7,-1.69,-1.43,0.0,-2.29,0.133,0,1
1368,2025-07-24,2025-07-25,STRONG,NORMAL,-3.1,8,0.87,0.86,1.15,-0.58,0.375,0,2
1368,2025-08-12,2025-08-13,STRONG,NORMAL,-3.3,8,-0.62,-1.25,0.0,-1.56,0.333,0,5
1368,2025-10-06,2025-10-07,STRONG,NORMAL,-6.29,6,-1.06,1.79,1.79,-0.36,0.25,0,2
1368,2025-11-06,2025-11-07,NORMAL,NORMAL,-3.28,3,1.51,-0.37,1.49,-0.74,0.167,0,1
1368,2025-11-26,2025-11-27,STRONG,NORMAL,-4.1,2,-0.39,-0.39,0.39,-1.17,0.111,0,1
1368,2025-12-12,2025-12-15,STRONG,NORMAL,-3.91,5,1.22,-1.61,0.0,-2.01,0.0,0,1
1368,2026-01-05,2026-01-06,NORMAL,STRONG,-4.44,4,-0.42,-1.69,0.0,-2.97,0.125,0,1
1376,2026-01-07,2026-01-08,NORMAL,NORMAL,-3.78,4,-0.19,-2.67,0.57,-2.79,0.096,0,2
1377,2025-07-15,2025-07-16,NORMAL,NORMAL,-3.13,3,-0.15,-1.03,0.15,-1.03,0.083,0,1
1377,2026-01-14,2026-01-15,NORMAL,STRONG,-7.0,6,1.25,1.61,2.35,-0.25,0.393,0,2
1379,2025-05-14,2025-05-15,WEAK,WEAK,-4.61,7,0.17,1.15,2.13,-0.17,0.18,0,3
137A,2025-04-17,2025-04-18,STRONG,STRONG,-4.17,2,-6.22,-1.92,3.17,-2.65,0.371,0,1
137A,2025-07-14,2025-07-15,NORMAL,NORMAL,-9.94,4,0.29,-7.57,0.0,-7.57,0.699,0,2
137A,2025-07-15,2025-07-16,NORMAL,NORMAL,-7.31,5,-2.32,0.63,2.77,-2.69,0.0,0,3
137A,2026-01-13,2026-01-14,NORMAL,NORMAL,-21.51,8,0.23,-6.52,0.11,-6.52,0.143,0,1
137A,2026-01-14,2026-01-15,NORMAL,STRONG,-6.31,9,0.24,1.83,2.44,-2.32,0.0,0,2
1381,2025-11-05,2025-11-06,WEAK,NORMAL,-3.83,3,-1.86,3.78,4.46,-4.46,0.375,0,1
1382,2025-09-04,2025-09-05,NORMAL,NORMAL,-14.79,3,-4.24,-4.17,2.55,-4.17,0.0,0,1
1382,2025-09-05,2025-09-08,NORMAL,NORMAL,-8.23,3,1.03,-2.15,0.54,-2.9,0.0,0,2
1382,2025-10-07,2025-10-08,NORMAL,NORMAL,-14.08,3,2.07,4.06,7.72,-2.18,0.117,0,6
1383,2025-04-25,2025-04-28,NORMAL,NORMAL,-4.05,3,-7.39,0.98,20.2,-0.65,0.28,0,1
1383,2025-04-28,2025-04-30,NORMAL,NORMAL,-6.49,5,2.1,-2.53,0.16,-3.95,0.031,0,2
1384,2025-05-15,2025-05-16,WEAK,NORMAL,-3.37,5,2.13,1.39,2.58,-1.11,0.118,0,2
1384,2025-12-22,2025-12-23,NORMAL,NORMAL,-3.12,3,-0.11,2.21,2.46,0.0,0.194,0,1
1384,2026-02-16,2026-02-17,NORMAL,NORMAL,-4.15,2,0.0,-3.53,0.0,-4.49,0.3,0,1
1384,2026-02-17,2026-02-18,NORMAL,STRONG,-3.53,2,0.5,3.14,3.8,-0.86,0.214,1,2
1401,2025-06-18,2025-06-19,NORMAL,WEAK,-5.21,3,0.0,-1.73,3.24,-5.5,0.18,0,1
1401,2025-10-16,2025-10-17,NORMAL,WEAK,-6.95,4,9.14,-5.93,4.12,-7.75,0.304,0,1
1407,2025-04-16,2025-04-17,NORMAL,STRONG,-4.57,4,1.86,-0.49,0.91,-2.81,0.044,0,3
1407,2025-07-15,2025-07-16,NORMAL,NORMAL,-9.95,4,-4.09,-1.07,2.4,-1.13,0.029,0,1
1407,2025-07-16,2025-07-17,NORMAL,STRONG,-5.11,5,1.08,-1.53,2.07,-2.93,0.019,0,2
1407,2025-07-18,2025-07-22,WEAK,WEAK,-5.07,7,1.78,3.57,6.09,-0.21,0.0,0,4
1407,2025-08-28,2025-08-29,NORMAL,NORMAL,-3.91,2,0.56,-0.61,0.31,-1.84,0.541,0,1
1407,2025-10-06,2025-10-07,STRONG,NORMAL,-10.64,4,-0.45,2.93,3.44,-2.14,0.343,0,1
1407,2025-10-15,2025-10-16,STRONG,NORMAL,-5.03,3,-4.5,5.96,7.13,0.0,0.187,0,2
1407,2025-10-17,2025-10-20,WEAK,STRONG,-5.01,3,-0.41,0.88,0.88,-1.06,0.333,1,1
1407,2025-10-22,2025-10-23,STRONG,NORMAL,-4.96,4,-0.86,-0.06,1.36,-0.74,0.0,0,2
1407,2025-10-30,2025-10-31,NORMAL,NORMAL,-3.71,7,0.2,-0.27,3.11,-0.88,0.095,0,4
1407,2025-11-20,2025-11-21,STRONG,STRONG,-4.17,6,-1.87,5.81,5.81,-1.15,0.213,0,4
1407,2026-03-17,2026-03-18,NORMAL,STRONG,-4.26,2,-2.17,2.55,3.6,-0.22,0.055,0,1
1414,2025-05-12,2025-05-13,NORMAL,NORMAL,-5.69,3,1.2,-1.03,0.0,-2.1,0.282,0,1
1414,2025-11-11,2025-11-12,NORMAL,STRONG,-3.45,2,0.51,0.06,1.25,-0.1,0.429,0,1
1414,2025-12-29,2025-12-30,NORMAL,WEAK,-74.6,10,0.3,-0.64,0.23,-1.2,0.024,0,1
1414,2026-02-12,2026-02-13,NORMAL,WEAK,-8.95,4,0.65,-0.64,0.57,-2.0,0.358,0,1
1417,2025-08-13,2025-08-14,NORMAL,NORMAL,-7.03,3,-0.17,0.29,0.68,-1.97,0.117,0,1
1417,2026-02-13,2026-02-16,WEAK,NORMAL,-6.0,2,-0.54,-0.9,0.49,-3.6,0.161,0,1
1417,2026-03-06,2026-03-10,NORMAL,WEAK,-4.32,2,-2.5,1.54,1.9,-0.77,0.43,0,3
1418,2025-04-15,2025-04-16,NORMAL,NORMAL,-16.2,2,0.0,-6.11,0.25,-7.38,0.033,0,2
1418,2025-04-16,2025-04-17,NORMAL,STRONG,-6.11,3,-1.08,4.11,4.11,-0.55,0.167,0,3
1418,2025-04-25,2025-04-28,NORMAL,NORMAL,-8.64,4,0.27,1.35,2.16,-0.54,0.0,0,1
1418,2026-01-15,2026-01-16,STRONG,NORMAL,-8.9,4,0.0,-0.79,2.83,-2.2,0.452,0,2
1419,2025-05-29,2025-05-30,NORMAL,NORMAL,-7.1,7,-1.61,-2.72,0.27,-2.86,0.16,0,1
1419,2025-05-30,2025-06-02,NORMAL,WEAK,-4.29,8,-0.56,-0.28,0.7,-0.85,0.043,0,2
1419,2026-01-08,2026-01-09,NORMAL,NORMAL,-5.28,4,0.14,-1.57,0.43,-1.57,0.0,0,1
141A,2025-05-16,2025-05-19,NORMAL,NORMAL,-5.2,2,0.0,1.86,2.46,-1.08,0.163,0,1
141A,2025-08-14,2025-08-15,NORMAL,NORMAL,-11.33,6,1.06,7.22,7.22,-1.05,0.211,0,1
141A,2025-10-02,2025-10-03,NORMAL,STRONG,-4.28,5,1.24,1.55,2.23,0.0,0.079,0,3
1429,2025-11-10,2025-11-11,STRONG,NORMAL,-8.9,5,0.12,-0.7,0.12,-1.97,0.143,0,2
1429,2026-02-16,2026-02-17,NORMAL,NORMAL,-5.23,6,1.8,0.47,1.18,-1.18,0.36,0,2
142A,2025-04-21,2025-04-22,NORMAL,NORMAL,-4.48,6,1.22,0.6,2.22,-0.81,0.0,0,1
142A,2025-05-23,2025-05-26,NORMAL,NORMAL,-8.76,3,3.2,3.72,10.54,-3.26,0.066,0,1
142A,2025-09-10,2025-09-11,NORMAL,NORMAL,-6.93,2,-1.15,-6.58,1.27,-6.58,0.288,0,1
142A,2025-12-09,2025-12-10,NORMAL,NORMAL,-3.35,9,-1.57,1.76,5.92,0.0,0.0,0,4
1431,2025-11-13,2025-11-14,NORMAL,NORMAL,-5.22,5,0.0,-0.85,0.28,-0.99,0.45,0,1
1431,2025-12-29,2025-12-30,NORMAL,WEAK,-6.29,6,-0.15,0.0,0.61,-0.15,0.2,0,1
1433,2026-01-29,2026-01-30,NORMAL,NORMAL,-8.67,6,-1.57,-1.34,1.26,-2.1,0.55,0,2
1433,2026-03-13,2026-03-16,WEAK,NORMAL,-7.96,6,-0.94,-0.52,1.38,-1.9,0.564,0,2
1434,2025-10-06,2025-10-07,STRONG,NORMAL,-5.68,5,0.0,-2.18,0.17,-3.58,0.093,0,1
1434,2025-10-17,2025-10-20,WEAK,STRONG,-3.61,3,1.7,-0.08,0.67,-1.42,0.14,1,1
1434,2025-12-18,2025-12-19,NORMAL,NORMAL,-3.65,3,0.0,-1.76,1.44,-2.87,0.138,0,1
1435,2026-02-16,2026-02-17,NORMAL,NORMAL,-4.07,2,-0.94,3.33,4.76,-1.43,0.174,0,1
1443,2026-02-09,2026-02-10,STRONG,STRONG,-4.68,2,-2.31,0.89,1.78,-1.48,0.39,0,1
1443,2026-03-17,2026-03-18,NORMAL,STRONG,-3.69,3,1.6,0.63,1.26,-0.63,0.0,0,1
1443,2026-03-26,2026-03-27,WEAK,NORMAL,-4.52,3,-1.01,-0.68,0.34,-2.39,0.211,0,1
1447,2026-02-13,2026-02-16,WEAK,NORMAL,-3.3,2,1.82,2.24,3.8,-4.92,0.359,0,2
1456,2025-10-06,2025-10-07,STRONG,NORMAL,-4.7,6,-1.01,0.86,1.02,-0.21,0.237,0,3
1456,2025-10-20,2025-10-21,STRONG,NORMAL,-3.48,4,-1.25,0.94,1.33,-0.33,0.0,0,1
