code4,name,last_close_yen
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,175.0
6619,ダブル・スコープ,176.0
7603,ジーイエット,178.0
3069,ＪＦＬＡホールディングス,179.0
7709,クボテック,179.0
6173,アクアライン,180.0
3521,テルマー湯ホールディングス,180.0
3779,ジェイ・エスコムホールディングス,180.0
2120,ＬＩＦＵＬＬ,180.0
7601,ポプラ,181.0
2666,オートウェーブ,182.0
7048,ベルトラ,183.0
3010,ポラリス・ホールディングス,188.0
2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）,189.8000030517578
2341,アルバイトタイムス,190.0
2321,ソフトフロントホールディングス,192.0
5950,日本パワーファスニング,192.0
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,192.0
7524,マルシェ,194.0
7810,クロスフォー,194.0
2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ,195.1999969482422
6093,エスクロー・エージェント・ジャパン,198.0
6926,岡谷電機産業,199.0
4814,ネクストウェア,200.0
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,201.0
8518,日本アジア投資,201.0
5010,日本精蝋,203.0
3727,アプリックス,205.0
4558,中京医薬品,206.0
5952,アマテイ,207.0
8165,千趣会,208.0
2255,ｉシェアーズ　米国債２０年超　ＥＴＦ,208.10000610351562
7859,アルメディオ,209.0
7919,野崎印刷紙業,209.0
4714,リソー教育グループ,210.0
6343,フリージア・マクロス,210.0
7640,トップカルチャー,210.0
6046,リンクバル,210.0
5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,212.0
9434,ソフトバンク,212.1999969482422
7162,アストマックス,214.0
2146,ＵＴグループ,215.0
2345,クシム,216.0
2435,シダー,216.0
7035,ａｎｄ　ｆａｃｔｏｒｙ,217.0
3985,テモナ,220.0
2673,夢みつけ隊,221.0
4777,ガーラ,221.0
8705,日産証券グループ,221.0
2256,ｉシェアーズ　米国総合債券　ＥＴＦ,221.39999389648438
5986,モリテック　スチール,222.0
3185,夢展望,223.0
8077,トルク,223.0
2257,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ,223.89999389648438
4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ,224.0
3137,ファンデリー,224.0
2258,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ,224.60000610351562
3911,Ａｉｍｉｎｇ,225.0
4596,窪田製薬ホールディングス,225.0
3776,ブロードバンドタワー,225.0
7074,トゥエンティーフォーセブンホールディングス,225.0
5216,倉元製作所,225.0
9439,エム・エイチ・グループ,226.0
2375,ギグワークス,226.0
9327,イー・ロジット,226.0
4651,サニックスホールディングス,226.0
5581,カイテクノロジー,226.0
3372,関門海,226.0
8143,ラピーヌ,227.0
7135,ジャパンクラフトホールディングス,227.0
3550,スタジオアタオ,230.0
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,232.0
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,232.0
1840,土屋ホールディングス,233.0
6662,ユビテック,234.0
2693,ＹＫＴ,235.0
3121,マーチャント・バンカーズ,235.0
6572,オープングループ,236.0
4406,新日本理化,236.0
5244,ｊｉｇ．ｊｐ,237.0
7795,ＫＹＯＲＩＴＳＵ,237.0
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,237.89999389648438
4427,ＥｄｕＬａｂ,238.0
4882,ペルセウスプロテオミクス,238.0
7707,プレシジョン・システム・サイエンス,238.0
8944,ランドビジネス,239.0
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,239.0
8783,ａｂｃ,240.0
2459,アウンコンサルティング,240.0
3845,アイフリークモバイル,241.0
6195,ホープ,241.0
6495,宮入バルブ製作所,242.0
9466,アイドママーケティングコミュニケーション,243.0
2479,ジェイテック,244.0
9854,愛眼,244.0
8798,アドバンスクリエイト,245.0
