gen,best_sharpe,avg_sharpe
1,2.9742400447413018,-0.4218841503720405
2,5.0,-0.27514736938324963
3,5.0,-0.060349811620474425
4,5.0,0.4908451612637515
5,5.0,1.1685598271270135
6,5.0,1.8264613682128623
7,5.0,2.46557424461764
8,5.0,3.2122056642470813
9,5.0,3.9388134113623288
10,5.0,4.227489747314149
11,5.0,4.322925630758998
12,5.0,4.398241128320655
13,5.0,4.43956120197647
14,5.0,4.468565602183958
15,5.0,4.448859012655563
16,5.0,4.484579643068007
17,5.0,4.512024530358468
18,5.0,4.524422705438205
19,5.0,4.507484639421689
20,5.0,4.52416776555012
21,5.0,4.522037248481647
22,5.0,4.525088915809679
23,5.0,4.5295107906076995
24,5.0,4.520647808716754
25,5.0,4.537698731987081
26,5.0,4.55749570917988
27,5.0,4.529801419490495
28,5.0,4.5522403970960665
29,5.0,4.547115590740574
30,5.0,4.552694677767573
31,5.0,4.556172428071996
32,5.0,4.54136672427831
33,5.0,4.514005064762378
34,5.0,4.555100685663834
35,5.0,4.549728832624108
36,5.0,4.57118208136834
37,5.0,4.538093066858067
38,5.0,4.5523389606431035
39,5.0,4.554543924531516
40,5.0,4.5460687095697505
41,5.0,4.536868275078584
42,5.0,4.54850796295268
43,5.0,4.548259739265442
44,5.0,4.552765083315037
45,5.0,4.552560198969635
46,5.0,4.558293122999284
47,5.0,4.559903126489357
48,5.0,4.540625205899722
49,5.0,4.549248541861867
50,5.0,4.566550293744956
51,5.0,4.549235200586782
52,5.0,4.548709963586252
53,5.0,4.544766573736348
54,5.0,4.529424991658953
55,5.0,4.558216618574498
56,5.0,4.540148081978062
57,5.0,4.546100211166997
58,5.0,4.566903192871245
59,5.0,4.534373249146298
60,5.0,4.56207874187645
61,5.0,4.569210243509789
62,5.0,4.5645118567417295
63,5.0,4.541436040085089
64,5.0,4.575766700999242
65,5.0,4.552879345906497
66,5.0,4.553904445137006
67,5.0,4.5622464169412655
68,5.0,4.564114570962106
69,5.0,4.554174539719578
70,5.0,4.5745154162595325
71,5.0,4.572717315063713
72,5.0,4.547433639228944
73,5.0,4.561030322647099
74,5.0,4.5689788368822475
75,5.0,4.569296536102308
76,5.0,4.562157103819797
77,5.0,4.56221982041023
78,5.0,4.549777763267305
79,5.0,4.570105514179475
80,5.0,4.561611852099321
81,5.0,4.54777841844954
82,5.0,4.570346937646643
83,5.0,4.568884510530158
84,5.0,4.566143074087152
85,5.0,4.567433112476879
86,5.0,4.550426545422815
87,5.0,4.573909414326315
88,5.0,4.592635031999591
89,5.0,4.56387457309045
90,5.0,4.560992738220131
91,5.0,4.571854497045384
92,5.0,4.588596262747844
93,5.0,4.56571164084827
94,5.0,4.533963753370433
95,5.0,4.560374207345862
96,5.0,4.542312225050078
97,5.0,4.573231607515105
98,5.0,4.568347630486437
99,5.0,4.573065215191732
100,5.0,4.549621841594414
101,5.0,4.5694568939473665
102,5.0,4.566317197648867
103,5.0,4.571978911052899
104,5.0,4.583532053058401
105,5.0,4.578984665469823
106,5.0,4.582169833410643
107,5.0,4.559263649864322
108,5.0,4.563463416383732
109,5.0,4.54979292852075
110,5.0,4.565571246935646
111,5.0,4.600182508322596
112,5.0,4.58326767482939
113,5.0,4.574865865826902
114,5.0,4.558707795741373
115,5.0,4.57912678670376
116,5.0,4.574794359634512
117,5.0,4.570290526242898
118,5.0,4.557898653261676
119,5.0,4.583217006749173
120,5.0,4.546757889985097
121,5.0,4.568415574140438
122,5.0,4.582337098863397
123,5.0,4.5499033848593955
124,5.0,4.574504054815426
125,5.0,4.557314424514254
126,5.0,4.581461355234866
127,5.0,4.563138158909313
128,5.0,4.571273525965928
129,5.0,4.601089063193948
130,5.0,4.572347729756469
131,5.0,4.553525800989237
132,5.0,4.5704913982708195
133,5.0,4.576930396564223
134,5.0,4.560314678174895
135,5.0,4.559031676636339
136,5.0,4.579092269132142
137,5.0,4.565104290434929
138,5.0,4.538196523791536
139,5.0,4.582555992712411
140,5.0,4.567652165040405
141,5.0,4.5503924879935145
142,5.0,4.573979460402662
143,5.0,4.548098356477039
144,5.0,4.580378386792358
145,5.0,4.548644262512053
146,5.0,4.573991891042352
147,5.0,4.553606415001458
148,5.0,4.559361605253606
149,5.0,4.565239639358036
150,5.0,4.563515199003394
