スコア帯,TP,SL,上位N,n,days,total,annual,sharpe,dd,win_rate,avg
score7-9,+5.0%,-2.0%,全件,806,28,-13.91,-74.0,-8.02,-15.07,29.3,-0.517
score9+,+5.0%,なし,全件,172,22,-26.04,-96.8,-8.03,-26.04,41.9,-1.023
score8-9,+3.0%,-5.0%,5,94,22,-18.67,-90.6,-8.37,-19.88,36.2,-0.828
score8-9,+5.0%,-5.0%,全件,189,22,-19.59,-91.8,-8.37,-22.76,32.8,-1.129
score7-9,+3.0%,なし,全件,806,28,-19.55,-85.9,-8.49,-22.67,40.2,-0.654
score8-9,+5.0%,-3.0%,5,94,22,-14.85,-84.1,-8.58,-15.3,29.8,-0.636
score5-7,+3.0%,-2.0%,5,125,30,-13.17,-69.5,-8.66,-13.17,28.0,-0.469
score5-7,+5.0%,-2.0%,全件,1395,30,-13.0,-69.0,-8.72,-13.0,28.4,-0.554
score9+,+5.0%,-2.0%,全件,172,22,-11.04,-73.8,-8.75,-12.02,23.3,-0.613
score9+,+5.0%,-2.0%,5,99,22,-12.41,-78.1,-9.0,-12.72,24.2,-0.625
score7-9,+5.0%,-3.0%,全件,806,28,-17.92,-83.1,-9.08,-19.83,31.1,-0.697
score7-9,+3.0%,-5.0%,5,112,28,-23.55,-91.1,-9.23,-24.96,34.8,-0.889
score7-9,+3.0%,-2.0%,5,112,28,-15.67,-78.4,-9.61,-15.67,27.7,-0.572
score7-9,+3.0%,-3.0%,3,74,28,-19.15,-85.2,-9.75,-20.11,28.4,-0.71
score9+,+5.0%,-3.0%,3,63,22,-17.31,-88.7,-9.86,-17.31,27.0,-0.812
score8-9,+3.0%,-3.0%,3,58,22,-15.58,-85.6,-10.06,-15.73,27.6,-0.685
score5-7,+3.0%,-2.0%,全件,1395,30,-13.33,-69.9,-10.07,-13.33,28.6,-0.573
score8-9,+3.0%,-2.0%,5,94,22,-12.16,-77.4,-10.24,-12.16,27.7,-0.498
score9+,+3.0%,-5.0%,3,63,22,-25.39,-96.5,-10.34,-25.39,34.9,-1.255
score8-9,+5.0%,-2.0%,全件,189,22,-11.04,-73.8,-10.35,-11.04,28.6,-0.509
score9+,+5.0%,-5.0%,3,63,22,-24.64,-96.1,-10.4,-24.64,30.2,-1.172
score7-9,+3.0%,-3.0%,5,112,28,-20.59,-87.4,-10.83,-21.54,29.5,-0.794
score7-9,+3.0%,-5.0%,全件,806,28,-23.76,-91.3,-10.9,-25.46,35.2,-0.872
score9+,+3.0%,-2.0%,3,63,22,-14.35,-83.0,-11.37,-14.35,25.4,-0.678
score8-9,+3.0%,-3.0%,5,94,22,-16.98,-88.1,-11.48,-17.12,29.8,-0.757
score7-9,+3.0%,-2.0%,全件,806,28,-16.32,-79.9,-11.52,-16.45,29.3,-0.582
score9+,+5.0%,-3.0%,全件,172,22,-17.12,-88.4,-11.76,-17.12,25.0,-0.908
score9+,+3.0%,-5.0%,5,99,22,-25.13,-96.4,-11.89,-25.13,32.3,-1.25
score7-9,+3.0%,-3.0%,全件,806,28,-20.17,-86.8,-12.01,-21.12,32.0,-0.759
score9+,+5.0%,-3.0%,5,99,22,-19.15,-91.2,-12.02,-19.15,25.3,-0.955
score8-9,+3.0%,-5.0%,全件,189,22,-22.87,-94.9,-12.15,-24.01,33.9,-1.237
score8-9,+5.0%,-3.0%,全件,189,22,-16.79,-87.8,-12.28,-17.23,29.6,-0.852
score9+,+5.0%,-5.0%,5,99,22,-24.86,-96.2,-12.28,-24.86,28.3,-1.177
score9+,+3.0%,-5.0%,全件,172,22,-25.8,-96.7,-13.59,-25.8,31.4,-1.345
score9+,+5.0%,-5.0%,全件,172,22,-24.5,-96.0,-13.79,-24.5,29.1,-1.177
score9+,+3.0%,-3.0%,3,63,22,-21.53,-93.8,-13.81,-21.53,27.0,-1.052
score9+,+3.0%,-2.0%,5,99,22,-15.83,-86.1,-13.83,-15.83,23.2,-0.788
score8-9,+3.0%,-2.0%,全件,189,22,-13.38,-80.7,-14.15,-13.38,28.0,-0.625
score9+,+3.0%,-2.0%,全件,172,22,-15.11,-84.7,-15.14,-15.11,22.1,-0.792
score8-9,+3.0%,-3.0%,全件,189,22,-18.74,-90.7,-15.18,-18.87,29.6,-0.951
score9+,+3.0%,-3.0%,5,99,22,-22.78,-94.8,-16.46,-22.78,25.3,-1.145
score9+,+3.0%,-3.0%,全件,172,22,-21.65,-93.9,-18.02,-21.65,24.4,-1.131
