TP,SL,IS_Sharpe,IS_N,IS_WR,IS_avg,OOS_Sharpe,OOS_N,OOS_WR,OOS_avg
5.0000,3.0000,0.3000,131232,48.2520,0.0311,0.0796,87921,47.6143,0.0087
5.0000,4.0000,0.5930,131232,49.0498,0.0631,0.2937,87921,48.4173,0.0333
5.0000,5.0000,0.7875,131232,49.4033,0.0846,0.3842,87921,48.6971,0.0442
5.0000,6.0000,0.8740,131232,49.5413,0.0943,0.4304,87921,48.8188,0.0500
5.0000,7.0000,0.9140,131232,49.5946,0.0989,0.4527,87921,48.8655,0.0529
5.0000,8.0000,0.9416,131232,49.6220,0.1019,0.4666,87921,48.8905,0.0547
5.5000,2.0000,-0.1982,131232,45.9179,-0.0195,-0.3063,87921,45.1485,-0.0318
5.5000,3.0000,0.3332,131232,48.2230,0.0350,0.1148,87921,47.5950,0.0128
5.5000,4.0000,0.6219,131232,49.0124,0.0671,0.3216,87921,48.3866,0.0369
5.5000,5.0000,0.8080,131232,49.3584,0.0881,0.4110,87921,48.6630,0.0479
5.5000,6.0000,0.8923,131232,49.4933,0.0977,0.4544,87921,48.7802,0.0534
5.5000,7.0000,0.9305,131232,49.5436,0.1022,0.4729,87921,48.8222,0.0559
5.5000,8.0000,0.9562,131232,49.5687,0.1050,0.4863,87921,48.8461,0.0577
6.0000,2.0000,-0.1696,131232,45.9019,-0.0169,-0.2738,87921,45.1417,-0.0287
6.0000,3.0000,0.3533,131232,48.1956,0.0375,0.1456,87921,47.5814,0.0164
6.0000,4.0000,0.6368,131232,48.9759,0.0696,0.3479,87921,48.3650,0.0403
6.0000,5.0000,0.8182,131232,49.3157,0.0902,0.4341,87921,48.6346,0.0512
6.0000,6.0000,0.8983,131232,49.4460,0.0996,0.4769,87921,48.7506,0.0567
6.0000,7.0000,0.9356,131232,49.4948,0.1040,0.4925,87921,48.7893,0.0589
6.0000,8.0000,0.9609,131232,49.5192,0.1068,0.5048,87921,48.8120,0.0605
6.5000,2.0000,-0.1413,131232,45.8897,-0.0142,-0.2410,87921,45.1394,-0.0255
6.5000,3.0000,0.3790,131232,48.1788,0.0407,0.1740,87921,47.5734,0.0198
6.5000,4.0000,0.6567,131232,48.9545,0.0725,0.3732,87921,48.3514,0.0437
6.5000,5.0000,0.8342,131232,49.2890,0.0931,0.4581,87921,48.6186,0.0545
6.5000,6.0000,0.9096,131232,49.4155,0.1020,0.4998,87921,48.7324,0.0600
6.5000,7.0000,0.9473,131232,49.4643,0.1065,0.5150,87921,48.7699,0.0622
6.5000,8.0000,0.9727,131232,49.4887,0.1094,0.5271,87921,48.7927,0.0638
7.0000,2.0000,-0.1247,131232,45.8791,-0.0126,-0.2144,87921,45.1371,-0.0229
7.0000,3.0000,0.3933,131232,48.1628,0.0426,0.1975,87921,47.5700,0.0226
