datetime,time,open,high,low,close,volume
2026-03-19 09:04:00+09:00,09:04,939.0,939.0,939.0,939.0,0
2026-03-19 09:05:00+09:00,09:05,914.0,922.0,914.0,922.0,24000
2026-03-19 09:06:00+09:00,09:06,922.0,922.0,916.0,919.0,700
2026-03-19 09:07:00+09:00,09:07,920.0,920.0,920.0,920.0,200
2026-03-19 09:08:00+09:00,09:08,921.0,924.0,921.0,924.0,400
2026-03-19 09:09:00+09:00,09:09,920.0,920.0,919.0,919.0,600
2026-03-19 09:10:00+09:00,09:10,923.0,923.0,918.0,918.0,500
2026-03-19 09:11:00+09:00,09:11,920.0,920.0,918.0,918.0,200
2026-03-19 09:12:00+09:00,09:12,919.0,919.0,919.0,919.0,100
2026-03-19 09:13:00+09:00,09:13,919.0,919.0,918.0,918.0,200
2026-03-19 09:14:00+09:00,09:14,922.0,925.0,915.0,915.0,1600
2026-03-19 09:15:00+09:00,09:15,924.0,924.0,908.0,921.0,2200
2026-03-19 09:16:00+09:00,09:16,922.0,925.0,922.0,925.0,700
2026-03-19 09:20:00+09:00,09:20,925.0,925.0,925.0,925.0,300
2026-03-19 09:21:00+09:00,09:21,925.0,925.0,925.0,925.0,100
2026-03-19 09:22:00+09:00,09:22,925.0,925.0,925.0,925.0,700
2026-03-19 09:24:00+09:00,09:24,925.0,925.0,925.0,925.0,200
2026-03-19 09:25:00+09:00,09:25,921.0,921.0,920.0,920.0,900
2026-03-19 09:26:00+09:00,09:26,925.0,925.0,923.0,923.0,200
2026-03-19 09:27:00+09:00,09:27,923.0,923.0,922.0,922.0,200
2026-03-19 09:29:00+09:00,09:29,924.0,925.0,924.0,925.0,200
2026-03-19 09:31:00+09:00,09:31,925.0,925.0,925.0,925.0,300
2026-03-19 09:32:00+09:00,09:32,923.0,925.0,923.0,925.0,300
2026-03-19 09:33:00+09:00,09:33,926.0,926.0,926.0,926.0,100
2026-03-19 09:36:00+09:00,09:36,926.0,926.0,926.0,926.0,100
2026-03-19 09:39:00+09:00,09:39,926.0,928.0,926.0,928.0,600
2026-03-19 09:40:00+09:00,09:40,924.0,927.0,924.0,927.0,300
2026-03-19 09:41:00+09:00,09:41,927.0,927.0,925.0,925.0,600
2026-03-19 09:42:00+09:00,09:42,925.0,925.0,925.0,925.0,200
2026-03-19 09:43:00+09:00,09:43,926.0,926.0,926.0,926.0,100
2026-03-19 09:45:00+09:00,09:45,926.0,926.0,926.0,926.0,300
2026-03-19 09:46:00+09:00,09:46,923.0,923.0,920.0,920.0,1100
2026-03-19 09:51:00+09:00,09:51,924.0,925.0,924.0,925.0,1400
2026-03-19 09:53:00+09:00,09:53,927.0,927.0,927.0,927.0,200
2026-03-19 09:55:00+09:00,09:55,927.0,928.0,927.0,928.0,300
2026-03-19 09:56:00+09:00,09:56,929.0,930.0,928.0,930.0,400
2026-03-19 09:58:00+09:00,09:58,928.0,928.0,928.0,928.0,100
2026-03-19 10:00:00+09:00,10:00,930.0,934.0,930.0,934.0,1300
2026-03-19 10:01:00+09:00,10:01,935.0,937.0,935.0,935.0,500
2026-03-19 10:02:00+09:00,10:02,937.0,939.0,937.0,939.0,2300
2026-03-19 10:03:00+09:00,10:03,939.0,940.0,937.0,940.0,1700
2026-03-19 10:04:00+09:00,10:04,939.0,940.0,939.0,940.0,700
2026-03-19 10:05:00+09:00,10:05,941.0,941.0,941.0,941.0,800
2026-03-19 10:06:00+09:00,10:06,941.0,942.0,941.0,942.0,600
